Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524438168165,148315181149727,0.5213623,3.4253845,9.369568
android.sensor.accelerometer,1524438168165,148315201047188,0.5896454,3.501709,9.22644
android.sensor.accelerometer,1524438168165,148315220914132,0.65315247,3.526764,9.10614
android.sensor.accelerometer,1524438168178,148315240781075,0.6159973,3.506485,9.068848
android.sensor.accelerometer,1524438168195,148315260678536,0.5932312,3.5303345,9.10495
android.sensor.accelerometer,1524438168214,148315280575997,0.62797546,3.5673218,9.2300415
android.sensor.accelerometer,1524438168234,148315300442940,0.7142334,3.6090546,9.469421
android.sensor.accelerometer,1524438168254,148315320309884,0.6890869,3.584015,9.515137
android.sensor.accelerometer,1524438168274,148315340207345,0.63038635,3.5148468,9.381607
android.sensor.accelerometer,1524438168294,148315360074288,0.6699066,3.557785,9.279358
android.sensor.accelerometer,1524438168313,148315379941231,0.77653503,3.6257477,9.393646
android.sensor.accelerometer,1524438168333,148315399808175,0.79330444,3.6269379,9.430923
android.sensor.accelerometer,1524438168353,148315419675118,0.72143555,3.6030884,9.320267
android.sensor.accelerometer,1524438168373,148315439572579,0.6830902,3.5339203,9.221619
android.sensor.accelerometer,1524438168393,148315459439522,0.64476013,3.5172272,9.228836
android.sensor.accelerometer,1524438168413,148315479306466,0.71543884,3.5410767,9.317856
android.sensor.accelerometer,1524438168433,148315499203927,0.72021484,3.4862213,9.416489
android.sensor.accelerometer,1524438168453,148315519101388,0.6866913,3.5041046,9.257706
android.sensor.accelerometer,1524438168473,148315538998848,0.621994,3.5076752,8.971405
android.sensor.accelerometer,1524438168493,148315558865792,0.6363678,3.4552155,9.071259
android.sensor.accelerometer,1524438168512,148315578732735,0.5908356,3.5029144,9.116974
android.sensor.accelerometer,1524438168532,148315598599679,0.55970764,3.4886017,9.218018
android.sensor.accelerometer,1524438168552,148315618466622,0.4985962,3.4170532,9.073669
android.sensor.accelerometer,1524438168572,148315638364083,0.47105408,3.3609924,8.775345
android.sensor.accelerometer,1524438168592,148315658231026,0.5621033,3.4826355,8.764511
android.sensor.accelerometer,1524438168612,148315678097970,0.6363678,3.5565796,9.237259
android.sensor.accelerometer,1524438168632,148315697995431,0.62797546,3.5160217,9.580093
android.sensor.accelerometer,1524438168651,148315717862374,0.61001587,3.3872223,9.459793
android.sensor.accelerometer,1524438168671,148315737729317,0.6124115,3.4564056,9.21199
android.sensor.accelerometer,1524438168692,148315757626778,0.69625854,3.4802551,9.220413
android.sensor.accelerometer,1524438168711,148315777493722,0.7202301,3.5398865,9.456192
android.sensor.accelerometer,1524438168731,148315797360665,0.64715576,3.4862213,9.539185
android.sensor.accelerometer,1524438168751,148315817258126,0.62319946,3.458786,9.60054
android.sensor.accelerometer,1524438168771,148315837155587,0.64834595,3.4003448,9.738876
android.sensor.accelerometer,1524438168791,148315857022530,0.62797546,3.4182434,9.559647
android.sensor.accelerometer,1524438168811,148315876889473,0.6663208,3.4730988,9.281769
android.sensor.accelerometer,1524438168830,148315896786934,0.68548584,3.516037,9.070053
android.sensor.accelerometer,1524438168850,148315916653878,0.71424866,3.548233,9.059219
android.sensor.accelerometer,1524438168870,148315936520821,0.7298126,3.4719086,9.10614
android.sensor.accelerometer,1524438168890,148315956418282,0.651947,3.4098816,9.276947
android.sensor.accelerometer,1524438168910,148315976285225,0.59684753,3.341919,9.2721405
android.sensor.accelerometer,1524438168930,148315996152169,0.542923,3.2989807,9.133804
android.sensor.accelerometer,1524438168950,148316016049630,0.60520935,3.3657684,9.125397
android.sensor.accelerometer,1524438168969,148316035916573,0.6938782,3.4146576,9.31665
android.sensor.accelerometer,1524438168990,148316055783516,0.64356995,3.4182434,9.315445
android.sensor.accelerometer,1524438169009,148316075650460,0.542923,3.3562164,9.258911
android.sensor.accelerometer,1524438169029,148316095517403,0.49261475,3.3097076,9.462204
android.sensor.accelerometer,1524438169049,148316115445382,0.53334045,3.3562317,9.534378
android.sensor.accelerometer,1524438169069,148316135312325,0.60162354,3.386032,9.469421
android.sensor.accelerometer,1524438169089,148316155179268,0.6830902,3.3967743,9.369583
android.sensor.accelerometer,1524438169109,148316175076729,0.67230225,3.3753052,9.352737
android.sensor.accelerometer,1524438169129,148316194943673,0.5309448,3.3442993,9.501907
android.sensor.accelerometer,1524438169148,148316214810616,0.5189667,3.269165,9.522339
android.sensor.accelerometer,1524438169169,148316234708077,0.60520935,3.4087067,9.358749
android.sensor.accelerometer,1524438169188,148316254575020,0.7837219,3.4730988,9.286575
android.sensor.accelerometer,1524438169208,148316274441964,0.8376465,3.4897919,9.118164
android.sensor.accelerometer,1524438169228,148316294339425,0.727417,3.4766846,8.925705
android.sensor.accelerometer,1524438169248,148316314206368,0.6195984,3.386032,9.03157
android.sensor.accelerometer,1524438169268,148316334073311,0.6112213,3.384842,9.112152
android.sensor.accelerometer,1524438169289,148316353970772,0.7238312,3.389618,9.172287
android.sensor.accelerometer,1524438169307,148316373868233,0.80648804,3.389618,9.281769
android.sensor.accelerometer,1524438169327,148316393735177,0.7334137,3.3645782,9.328674
android.sensor.accelerometer,1524438169347,148316413602120,0.62438965,3.3073273,9.343124
android.sensor.accelerometer,1524438169367,148316433499581,0.52015686,3.3049316,9.214401
android.sensor.accelerometer,1524438169387,148316453366524,0.5884552,3.269165,9.272156
android.sensor.accelerometer,1524438169407,148316473233468,0.61001587,3.3144684,9.464615
android.sensor.accelerometer,1524438169427,148316493130929,0.62797546,3.211914,9.666687
android.sensor.accelerometer,1524438169447,148316512997872,0.621994,3.2345734,9.513916
android.sensor.accelerometer,1524438169467,148316532864815,0.6603241,3.2512817,9.274551
android.sensor.accelerometer,1524438169487,148316552762276,0.8124695,3.3025513,9.168686
android.sensor.accelerometer,1524438169506,148316572629220,0.7813263,3.3645782,9.320267
