Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524437400019,147547028274436,1.7337494,-2.8907013,9.270935
android.sensor.accelerometer,1524437400019,147547048171897,1.6427002,-2.878769,9.357559
android.sensor.accelerometer,1524437400019,147547068038840,1.5636292,-2.931244,9.319046
android.sensor.accelerometer,1524437400019,147547087905784,1.5684204,-2.9837189,9.338303
android.sensor.accelerometer,1524437400045,147547107803245,1.6283112,-2.9741821,9.37439
android.sensor.accelerometer,1524437400056,147547127670188,1.6882172,-2.9455414,9.379211
android.sensor.accelerometer,1524437400076,147547147537131,1.6977997,-2.9360046,9.369583
android.sensor.accelerometer,1524437400096,147547167434592,1.7313385,-2.8907013,9.376801
android.sensor.accelerometer,1524437400116,147547187301536,1.7121887,-2.8978577,9.292587
android.sensor.accelerometer,1524437400138,147547207168479,1.6139374,-2.9026184,9.208389
android.sensor.accelerometer,1524437400157,147547227065940,1.5588226,-2.9455566,9.273346
android.sensor.accelerometer,1524437400175,147547246963401,1.5348663,-2.9789429,9.386414
android.sensor.accelerometer,1524437400195,147547266860862,1.5851898,-3.0027924,9.429733
android.sensor.accelerometer,1524437400215,147547286727805,1.6546783,-2.957489,9.331085
android.sensor.accelerometer,1524437400235,147547306594749,1.5612335,-2.9431763,9.287781
android.sensor.accelerometer,1524437400255,147547326492210,1.4174652,-2.9550934,9.237259
android.sensor.accelerometer,1524437400275,147547346359153,1.3024597,-3.0743713,9.205978
android.sensor.accelerometer,1524437400295,147547366226096,1.2665253,-3.2580261,9.215607
android.sensor.accelerometer,1524437400314,147547386093040,1.122757,-3.5203857,9.304626
android.sensor.accelerometer,1524437400338,147547405959983,0.6795044,-3.8495636,9.222824
android.sensor.accelerometer,1524437400355,147547425857444,0.18830872,-4.2335815,9.1458435
android.sensor.accelerometer,1524437400374,147547445724387,-0.48257446,-4.6533813,9.590927
android.sensor.accelerometer,1524437400395,147547465591331,-1.3643036,-5.2019806,10.048035
android.sensor.accelerometer,1524437400414,147547485488792,-1.8602753,-5.244919,10.444992
android.sensor.accelerometer,1524437400434,147547505355735,-1.6086884,-4.7344666,9.475449
android.sensor.accelerometer,1524437400455,147547525222678,-0.9234314,-4.0737762,8.024719
android.sensor.accelerometer,1524437400473,147547545120139,-0.26452637,-3.7684631,7.5219116
android.sensor.accelerometer,1524437400494,147547565017600,0.16197205,-3.694519,7.406433
android.sensor.accelerometer,1524437400513,147547584915061,0.98379517,-3.5871887,7.603714
android.sensor.accelerometer,1524437400534,147547604782005,2.0476227,-3.2961884,8.246048
android.sensor.accelerometer,1524437400555,147547624648948,2.7184906,-3.532318,8.722412
android.sensor.accelerometer,1524437400573,147547644546409,3.394165,-3.6015015,9.29982
android.sensor.accelerometer,1524437400593,147547664413352,4.0914,-3.7112122,9.831497
android.sensor.accelerometer,1524437400613,147547684280296,4.8006134,-3.947342,9.9614105
android.sensor.accelerometer,1524437400633,147547704177756,5.9938354,-4.2335815,10.127426
android.sensor.accelerometer,1524437400653,147547724044700,7.567993,-4.362381,10.726471
android.sensor.accelerometer,1524437400672,147547743911643,8.972046,-4.61998,11.3784485
android.sensor.accelerometer,1524437400692,147547763809104,10.62529,-4.615219,11.597366
android.sensor.accelerometer,1524437400712,147547783676047,12.122787,-4.689163,11.385651
android.sensor.accelerometer,1524437400732,147547803542991,13.200989,-5.070801,10.197174
android.sensor.accelerometer,1524437400752,147547823440452,14.149796,-5.624161,8.917282
android.sensor.accelerometer,1524437400772,147547843337913,15.42926,-6.427994,8.520325
android.sensor.accelerometer,1524437400791,147547863204856,16.23674,-8.030853,9.6197815
android.sensor.accelerometer,1524437400811,147547883071799,16.100159,-10.086929,10.916519
android.sensor.accelerometer,1524437400830,147547902969260,17.348465,-11.372574,11.390472
android.sensor.accelerometer,1524437400850,147547922836204,19.253296,-12.538956,13.019211
android.sensor.accelerometer,1524437400870,147547942703147,19.291626,-14.699966,15.711334
android.sensor.accelerometer,1524437400890,147547962600608,18.143936,-17.18776,18.249466
android.sensor.accelerometer,1524437400910,147547982467551,17.331696,-18.948044,18.819641
android.sensor.accelerometer,1524437400930,147548002334495,17.70546,-20.591461,18.923096
android.sensor.accelerometer,1524437400950,147548022231956,17.825272,-22.170502,19.286392
android.sensor.accelerometer,1524437400970,147548042098899,18.946594,-23.095978,20.111572
android.sensor.accelerometer,1524437400991,147548061965842,19.591125,-24.965988,21.699417
android.sensor.accelerometer,1524437401010,147548081863303,18.014557,-27.465698,24.34581
android.sensor.accelerometer,1524437401030,147548101730247,17.945068,-27.415604,25.868698
android.sensor.accelerometer,1524437401050,147548121597190,18.385925,-27.146088,27.706741
android.sensor.accelerometer,1524437401070,147548141494651,14.128235,-29.125824,29.446152
android.sensor.accelerometer,1524437401090,147548161392112,6.628769,-31.12703,29.5905
android.sensor.accelerometer,1524437401110,147548181259055,-1.4146118,-32.722748,26.330612
android.sensor.accelerometer,1524437401130,147548201125999,-9.398087,-32.558167,22.373047
android.sensor.accelerometer,1524437401149,147548221023460,-12.251724,-27.895035,16.392181
android.sensor.accelerometer,1524437401170,147548240890403,-14.094238,-24.131165,10.447388
android.sensor.accelerometer,1524437401189,147548260757346,-17.086838,-20.539001,3.530655
android.sensor.accelerometer,1524437401209,147548280654807,-18.200989,-16.448334,-2.945816
android.sensor.accelerometer,1524437401230,147548300521751,-17.911057,-12.338577,-4.887329
android.sensor.accelerometer,1524437401249,147548320388694,-17.1707,-8.140579,-5.099045
android.sensor.accelerometer,1524437401268,147548340286155,-14.995132,-3.9020386,-4.8464203
android.sensor.accelerometer,1524437401289,147548360153098,-12.836334,-0.6867523,-2.7653809
android.sensor.accelerometer,1524437401309,147548380020042,-10.605667,2.1970062,-0.8214874
android.sensor.accelerometer,1524437401328,147548399917503,-7.991623,4.6347046,1.8273468
android.sensor.accelerometer,1524437401349,147548419814963,-5.530945,6.4116974,4.4015503
android.sensor.accelerometer,1524437401368,147548439712424,-4.0837555,7.802292,5.395157
android.sensor.accelerometer,1524437401388,147548459579368,-3.5901794,8.742065,5.322983
android.sensor.accelerometer,1524437401408,147548479411741,-3.4775543,9.302597,5.3542786
android.sensor.accelerometer,1524437401428,147548499309202,-3.7554932,9.369385,5.200287
android.sensor.accelerometer,1524437401448,147548519176145,-3.638092,9.588821,4.930847
android.sensor.accelerometer,1524437401468,147548539043089,-3.7339478,9.386078,5.1738434
android.sensor.accelerometer,1524437401487,147548558940550,-3.4104767,9.1523285,4.5988464
android.sensor.accelerometer,1524437401507,147548578807493,-3.671646,9.054535,6.614914
