Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524438066631,148213663817768,4.226776,7.3228607,5.3097534
android.sensor.accelerometer,1524438066631,148213683715229,4.219574,7.2870636,5.326599
android.sensor.accelerometer,1524438066636,148213703612690,4.2627106,7.324051,5.3458557
android.sensor.accelerometer,1524438066656,148213723479633,4.3142395,7.3955994,5.3975677
android.sensor.accelerometer,1524438066676,148213743346577,4.0554657,7.262039,5.401169
android.sensor.accelerometer,1524438066696,148213763244038,3.9344635,7.1487274,5.3614807
android.sensor.accelerometer,1524438066716,148213783110981,4.0434723,7.2262573,5.2772675
android.sensor.accelerometer,1524438066736,148213802977924,4.112961,7.3741302,5.206299
android.sensor.accelerometer,1524438066756,148213822875385,4.188446,7.4385376,5.206299
android.sensor.accelerometer,1524438066776,148213842742329,4.2052,7.44928,4.9681396
android.sensor.accelerometer,1524438066796,148213862609272,4.1644745,7.361023,4.5434875
android.sensor.accelerometer,1524438066816,148213882506733,3.6002197,7.4850464,4.4015503
android.sensor.accelerometer,1524438066836,148213902373676,2.2572632,7.167816,3.564331
android.sensor.accelerometer,1524438066856,148213922240620,0.23503113,6.3651886,1.4111176
android.sensor.accelerometer,1524438066876,148213942138081,-1.0995483,5.452835,-2.7136536
android.sensor.accelerometer,1524438066896,148213962035541,-1.5967102,4.2399445,-6.6928864
android.sensor.accelerometer,1524438066916,148213981902485,-0.111190796,1.4110718,-5.5513306
android.sensor.accelerometer,1524438066935,148214001769428,0.41235352,-0.9729767,-4.3303833
android.sensor.accelerometer,1524438066956,148214021666889,1.0149384,-3.6336975,-4.782669
android.sensor.accelerometer,1524438066975,148214041533832,3.1401978,-5.5239716,-6.1299286
android.sensor.accelerometer,1524438066995,148214061400776,5.0390167,-8.007004,-6.376526
android.sensor.accelerometer,1524438067015,148214081298237,6.177124,-11.476318,-2.8098907
android.sensor.accelerometer,1524438067034,148214101165180,6.2693634,-13.619446,0.99972534
android.sensor.accelerometer,1524438067054,148214121032123,5.6212463,-14.592621,0.8505707
android.sensor.accelerometer,1524438067074,148214140899067,5.5888977,-15.801941,-2.1952057
android.sensor.accelerometer,1524438067094,148214160766010,7.643463,-17.459671,-3.808319
android.sensor.accelerometer,1524438067114,148214180663471,10.403671,-19.401245,-3.215271
android.sensor.accelerometer,1524438067134,148214200530415,12.449844,-22.050034,-1.9305725
android.sensor.accelerometer,1524438067154,148214220397358,15.16571,-23.488342,-0.3667755
android.sensor.accelerometer,1524438067174,148214240325336,16.91719,-25.879532,0.7423096
android.sensor.accelerometer,1524438067194,148214260192280,19.07837,-28.098984,1.6553192
android.sensor.accelerometer,1524438067214,148214280059223,21.41568,-29.550385,3.2563934
android.sensor.accelerometer,1524438067233,148214299956684,23.28096,-29.65654,6.2781067
android.sensor.accelerometer,1524438067254,148214319823627,23.772125,-31.513428,8.436127
android.sensor.accelerometer,1524438067273,148214339690571,27.237946,-32.379288,13.909363
android.sensor.accelerometer,1524438067293,148214359588032,32.669678,-29.403702,25.676224
android.sensor.accelerometer,1524438067313,148214379454975,38.97235,-24.652328,32.303055
android.sensor.accelerometer,1524438067333,148214399321918,40.599243,-21.906937,30.74649
android.sensor.accelerometer,1524438067353,148214419219379,38.829803,-20.412582,29.478622
android.sensor.accelerometer,1524438067373,148214439086323,38.289505,-16.03807,27.710342
android.sensor.accelerometer,1524438067393,148214458953266,36.880646,-12.340973,26.132141
android.sensor.accelerometer,1524438067413,148214478850727,31.422562,-11.501373,23.377472
android.sensor.accelerometer,1524438067432,148214498717670,25.954895,-11.670715,21.610382
android.sensor.accelerometer,1524438067453,148214518584614,20.641754,-11.571732,19.914291
android.sensor.accelerometer,1524438067472,148214538482075,17.208298,-10.807266,14.146347
android.sensor.accelerometer,1524438067493,148214558379536,17.857605,-10.097656,9.274551
android.sensor.accelerometer,1524438067512,148214578246479,16.418808,-10.736908,6.5186768
android.sensor.accelerometer,1524438067531,148214598113422,10.114944,-13.078003,5.4962006
android.sensor.accelerometer,1524438067551,148214618010883,6.087265,-10.61525,4.115265
android.sensor.accelerometer,1524438067571,148214637877827,5.7075043,-7.4118958,1.8790588
android.sensor.accelerometer,1524438067592,148214657744770,5.137253,-6.629547,0.81207275
android.sensor.accelerometer,1524438067612,148214677642231,2.791565,-7.613449,1.1248322
android.sensor.accelerometer,1524438067631,148214697509174,1.1598969,-7.8806,-0.23205566
android.sensor.accelerometer,1524438067651,148214717376118,0.9766083,-8.289658,-1.8066711
android.sensor.accelerometer,1524438067671,148214737273579,0.25779724,-10.751221,-0.10334778
android.sensor.accelerometer,1524438067691,148214757140522,-1.1917877,-13.602768,2.0703278
android.sensor.accelerometer,1524438067711,148214777007465,-3.678833,-14.591431,3.134903
android.sensor.accelerometer,1524438067731,148214796904926,-5.1248016,-14.512726,3.0170135
android.sensor.accelerometer,1524438067750,148214816802387,-5.980194,-14.637955,4.14534
android.sensor.accelerometer,1524438067770,148214836669331,-6.0880127,-14.357681,4.910385
android.sensor.accelerometer,1524438067790,148214856536274,-5.8687744,-14.760788,4.409973
android.sensor.accelerometer,1524438067810,148214876433735,-7.5615387,-16.872894,2.5274353
android.sensor.accelerometer,1524438067830,148214896300678,-8.717621,-19.65886,1.2812042
android.sensor.accelerometer,1524438067850,148214916167622,-7.8993835,-24.08345,1.3882599
android.sensor.accelerometer,1524438067870,148214936065082,-6.131134,-30.701263,0.2719574
android.sensor.accelerometer,1524438067889,148214955932026,-6.636688,-36.615433,5.473358
android.sensor.accelerometer,1524438067909,148214975798969,-11.631149,-40.28154,14.975143
android.sensor.accelerometer,1524438067929,148214995696430,-17.459412,-43.26425,18.465988
android.sensor.accelerometer,1524438067949,148215015563373,-21.272644,-45.82837,22.6064
android.sensor.accelerometer,1524438067969,148215035430317,-16.360855,-47.972702,21.60196
android.sensor.accelerometer,1524438067989,148215055297260,-0.10757446,-49.967957,12.574127
android.sensor.accelerometer,1524438068009,148215075164204,19.713318,-48.8779,3.2696075
android.sensor.accelerometer,1524438068029,148215095061665,30.5085,-50.629837,1.3882599
android.sensor.accelerometer,1524438068048,148215114959125,35.46222,-60.662125,2.230301
android.sensor.accelerometer,1524438068069,148215134856586,56.51706,-62.90782,-4.969116
android.sensor.accelerometer,1524438068088,148215154723530,65.02646,-64.83389,-20.092102
android.sensor.accelerometer,1524438068108,148215174590473,86.54852,-47.697205,-15.103638
android.sensor.accelerometer,1524438068128,148215194487934,82.32916,-0.18226624,4.5242615
android.sensor.accelerometer,1524438068148,148215214354877,42.73288,6.903061,0.7747803
android.sensor.accelerometer,1524438068168,148215234221821,16.209167,-7.0886993,6.1433716
android.sensor.accelerometer,1524438068188,148215254119282,11.328522,-10.664154,-1.6178131
android.sensor.accelerometer,1524438068208,148215273986225,22.642426,-1.6372528,-3.3969116
android.sensor.accelerometer,1524438068227,148215293853168,35.480194,3.5518188,-4.8897247
