Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524437529992,147677014725893,7.7644653,-5.946167,-2.009964
android.sensor.accelerometer,1524437529992,147677034623354,7.7500916,-6.0153503,-1.9882965
android.sensor.accelerometer,1524437529992,147677054490298,7.8171844,-5.991501,-1.8800507
android.sensor.accelerometer,1524437530002,147677074357241,7.8411407,-5.8436127,-1.863205
android.sensor.accelerometer,1524437530022,147677094254702,7.7620697,-5.819763,-1.9377747
android.sensor.accelerometer,1524437530042,147677114121645,7.692581,-5.8841553,-2.0316162
android.sensor.accelerometer,1524437530061,147677133988589,7.7500916,-5.850769,-1.8968964
android.sensor.accelerometer,1524437530081,147677153886050,7.8171844,-5.767288,-1.9233398
android.sensor.accelerometer,1524437530101,147677173783511,7.812393,-5.7005005,-1.8800507
android.sensor.accelerometer,1524437530121,147677193650454,7.7620697,-5.7792053,-1.8463593
android.sensor.accelerometer,1524437530142,147677213517397,7.6207123,-5.9223175,-1.7982483
android.sensor.accelerometer,1524437530162,147677233414858,7.6590424,-5.8531494,-1.7068329
android.sensor.accelerometer,1524437530181,147677253281802,7.6734314,-5.7434387,-1.7717896
android.sensor.accelerometer,1524437530201,147677273148745,7.4985046,-5.7601166,-1.9474182
android.sensor.accelerometer,1524437530221,147677293046206,7.4266357,-5.757736,-2.1037903
android.sensor.accelerometer,1524437530241,147677312913149,7.3307953,-5.745819,-2.2481232
android.sensor.accelerometer,1524437530262,147677332780093,7.3547516,-5.683792,-2.1879883
android.sensor.accelerometer,1524437530281,147677352677554,7.306839,-5.3236237,-1.9065094
android.sensor.accelerometer,1524437530301,147677372544497,7.3164215,-5.0803375,-1.3675995
android.sensor.accelerometer,1524437530321,147677392411440,7.6590424,-5.244919,-1.0404205
android.sensor.accelerometer,1524437530341,147677412308901,8.543167,-4.8847504,-0.9947052
android.sensor.accelerometer,1524437530361,147677432175845,10.160477,-3.6706696,-0.6266022
android.sensor.accelerometer,1524437530380,147677452042788,11.696304,-2.714203,-0.4702301
android.sensor.accelerometer,1524437530400,147677471940249,11.744217,-2.9980164,-0.6001587
android.sensor.accelerometer,1524437530420,147677491837710,11.255447,-3.5203857,-0.11175537
android.sensor.accelerometer,1524437530440,147677511704653,11.365646,-3.5394745,1.7984619
android.sensor.accelerometer,1524437530460,147677531571597,11.6627655,-3.694519,3.2732391
android.sensor.accelerometer,1524437530480,147677551438540,12.175507,-3.6038818,2.8185425
android.sensor.accelerometer,1524437530500,147677571305483,13.335175,-3.4655304,2.8931122
android.sensor.accelerometer,1524437530520,147677591202944,14.73204,-3.6444397,3.2539825
android.sensor.accelerometer,1524437530540,147677611069888,17.015427,-4.0904694,3.4464417
android.sensor.accelerometer,1524437530560,147677630936831,19.406631,-5.3069305,3.3478088
android.sensor.accelerometer,1524437530580,147677650834292,21.618134,-7.0052185,3.177002
android.sensor.accelerometer,1524437530600,147677670701235,23.510986,-7.5681305,1.3437653
android.sensor.accelerometer,1524437530620,147677690568179,25.365494,-8.853775,-0.94418335
android.sensor.accelerometer,1524437530639,147677710465640,27.061844,-10.573517,-1.372406
android.sensor.accelerometer,1524437530659,147677730363100,27.107376,-13.027924,-1.8006592
android.sensor.accelerometer,1524437530679,147677750260561,26.733597,-15.296265,-1.7092285
android.sensor.accelerometer,1524437530698,147677770127505,26.716827,-17.159134,-1.1462708
android.sensor.accelerometer,1524437530718,147677789994448,27.414062,-19.420334,-1.6418762
android.sensor.accelerometer,1524437530738,147677809891909,27.38292,-21.87474,-1.5624695
android.sensor.accelerometer,1524437530758,147677829758852,27.299057,-24.071518,-0.76615906
android.sensor.accelerometer,1524437530778,147677849625796,27.759079,-26.127579,-0.4630127
android.sensor.accelerometer,1524437530798,147677869492739,28.152023,-27.790085,-1.0861206
android.sensor.accelerometer,1524437530818,147677889359683,28.295776,-29.206924,-2.8568115
android.sensor.accelerometer,1524437530838,147677909257143,27.989105,-31.821136,-4.803116
android.sensor.accelerometer,1524437530857,147677929154604,30.516876,-35.41806,-4.5312653
android.sensor.accelerometer,1524437530877,147677949021548,35.347214,-38.97444,-4.6010284
android.sensor.accelerometer,1524437530897,147677968888491,39.971497,-44.715683,-4.2233124
android.sensor.accelerometer,1524437530917,147677988755434,34.00305,-54.58815,-4.0500946
android.sensor.accelerometer,1524437530937,147678008622378,15.625748,-59.263184,-4.497589
android.sensor.accelerometer,1524437530957,147678028519839,-2.9935608,-54.406845,0.061447144
android.sensor.accelerometer,1524437530977,147678048417300,-18.24411,-45.54335,1.565094
android.sensor.accelerometer,1524437530997,147678068314761,-31.295105,-37.83191,-4.706894
android.sensor.accelerometer,1524437531017,147678088181704,-37.03354,-29.564697,-7.1487885
android.sensor.accelerometer,1524437531037,147678108048647,-33.588074,-21.881882,-8.099091
android.sensor.accelerometer,1524437531057,147678127946108,-24.214935,-13.939072,-11.356567
android.sensor.accelerometer,1524437531077,147678147813052,-10.519409,-6.072586,-14.19545
android.sensor.accelerometer,1524437531096,147678167679995,-1.920166,-1.7147827,-17.525085
android.sensor.accelerometer,1524437531116,147678187546938,2.8886108,2.1445312,-17.282104
android.sensor.accelerometer,1524437531136,147678207413882,2.459732,3.1820984,-14.2604065
android.sensor.accelerometer,1524437531156,147678227311343,0.33447266,3.5518188,-11.601959
android.sensor.accelerometer,1524437531176,147678247178286,-0.9138489,4.100418,-9.460785
android.sensor.accelerometer,1524437531195,147678267045229,-0.2693329,5.2190857,-9.520935
android.sensor.accelerometer,1524437531216,147678286942690,1.0077362,5.796295,-9.7326355
android.sensor.accelerometer,1524437531236,147678306840151,0.2146759,5.061661,-8.633194
android.sensor.accelerometer,1524437531255,147678326737612,0.33926392,5.352661,-7.8681335
android.sensor.accelerometer,1524437531275,147678346604556,0.97180176,6.0658417,-10.637238
android.sensor.accelerometer,1524437531296,147678366471499,0.15718079,6.771866,-8.674088
android.sensor.accelerometer,1524437531315,147678386368960,0.49261475,6.344925,-6.131134
android.sensor.accelerometer,1524437531335,147678406235903,0.92388916,6.523819,-5.240982
android.sensor.accelerometer,1524437531354,147678426102847,1.0652466,6.829117,-5.7967224
android.sensor.accelerometer,1524437531375,147678445969790,0.12841797,6.5905914,-6.371704
android.sensor.accelerometer,1524437531394,147678465836733,0.6795044,6.576294,-8.613937
android.sensor.accelerometer,1524437531414,147678485724537,0.81607056,6.8338776,-8.796783
android.sensor.accelerometer,1524437531434,147678505591481,1.5276794,6.977005,-8.613937
android.sensor.accelerometer,1524437531454,147678525458424,0.58125305,6.6955414,-8.902634
android.sensor.accelerometer,1524437531474,147678545355885,0.25779724,6.418869,-8.640411
android.sensor.accelerometer,1524437531494,147678565222828,0.7729492,6.657379,-7.495224
android.sensor.accelerometer,1524437531514,147678585120289,1.2257843,6.7503967,-7.5024567
android.sensor.accelerometer,1524437531533,147678605017750,1.2785034,6.678833,-7.435089
android.sensor.accelerometer,1524437531554,147678624884693,0.0014190674,6.0801544,-7.5746155
android.sensor.accelerometer,1524437531574,147678644782154,0.48542786,6.278137,-6.520874
android.sensor.accelerometer,1524437531593,147678664649098,1.4917297,6.361618,-6.910614
android.sensor.accelerometer,1524437531612,147678684516041,0.8352356,6.1755524,-8.048569
android.sensor.accelerometer,1524437531632,147678704382985,0.22425842,5.705673,-8.462372
android.sensor.accelerometer,1524437531652,147678724249928,0.8663788,6.03244,-6.896179
android.sensor.accelerometer,1524437531672,147678744147389,0.8040924,6.1684113,-6.544937
android.sensor.accelerometer,1524437531692,147678764014332,0.9286957,6.3067474,-7.7622833
android.sensor.accelerometer,1524437531711,147678783881276,0.8687744,6.225647,-8.055786
android.sensor.accelerometer,1524437531731,147678803778736,0.727417,6.1540985,-7.3821564
android.sensor.accelerometer,1524437531751,147678823645680,0.3632202,6.0706177,-6.739807
android.sensor.accelerometer,1524437531771,147678843512623,0.29133606,6.0014496,-6.715744
android.sensor.accelerometer,1524437531792,147678863410084,0.6076355,6.0229034,-7.4567413
android.sensor.accelerometer,1524437531811,147678883307545,1.0532684,6.0682373,-7.5650024
android.sensor.accelerometer,1524437531831,147678903174488,0.89993286,5.7748413,-7.786331
