Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524437665094,147812092657754,-0.029556274,-0.046920776,0.03729248
android.sensor.gyroscope,1524437665094,147812112494180,-0.041152954,-0.0395813,0.02722168
android.sensor.gyroscope,1524437665094,147812132391641,-0.03627014,-0.07991028,0.0039978027
android.sensor.gyroscope,1524437665094,147812152289102,-0.010620117,-0.10067749,-0.025924683
android.sensor.gyroscope,1524437665107,147812172125527,-0.001449585,-0.06707764,-0.030197144
android.sensor.gyroscope,1524437665115,147812192022988,-0.0017547607,0.0077667236,-0.0051574707
android.sensor.gyroscope,1524437665135,147812211920449,-0.013671875,0.029754639,-0.010650635
android.sensor.gyroscope,1524437665155,147812231817910,-0.025894165,-4.8828125E-4,-0.013397217
android.sensor.gyroscope,1524437665175,147812251654336,-0.012451172,-0.015457153,-0.026824951
android.sensor.gyroscope,1524437665195,147812271551797,-0.008483887,0.03189087,-0.0262146
android.sensor.gyroscope,1524437665215,147812291449258,-0.016418457,0.06274414,-8.69751E-4
android.sensor.gyroscope,1524437665234,147812311285684,-0.013366699,0.033416748,0.018371582
android.sensor.gyroscope,1524437665255,147812331183145,0.004348755,0.0037841797,0.022338867
android.sensor.gyroscope,1524437665274,147812351080606,0.018096924,0.001953125,0.022659302
android.sensor.gyroscope,1524437665294,147812370917031,0.039779663,0.007461548,0.030288696
android.sensor.gyroscope,1524437665314,147812390814492,0.056274414,0.012039185,0.038223267
android.sensor.gyroscope,1524437665334,147812410711953,0.07765198,1.2207031E-4,0.055023193
android.sensor.gyroscope,1524437665354,147812430548379,0.09353638,-0.026763916,0.066329956
android.sensor.gyroscope,1524437665374,147812450445840,0.07978821,-0.02645874,0.0791626
android.sensor.gyroscope,1524437665394,147812470343301,0.111846924,-0.032562256,0.13719177
android.sensor.gyroscope,1524437665413,147812490179727,0.24014282,-0.23292542,0.16864014
android.sensor.gyroscope,1524437665433,147812510077188,0.53977966,-0.7970581,0.1564331
android.sensor.gyroscope,1524437665454,147812529974649,1.0214386,-1.6757965,0.1564331
android.sensor.gyroscope,1524437665474,147812549872109,1.6399536,-2.390213,0.32746887
android.sensor.gyroscope,1524437665493,147812569708535,2.2028656,-2.5221558,0.63871765
android.sensor.gyroscope,1524437665514,147812589605996,2.535797,-2.1046295,1.0052338
android.sensor.gyroscope,1524437665534,147812609503457,2.5562592,-1.9079285,1.2605896
android.sensor.gyroscope,1524437665553,147812629339883,2.5574799,-1.9671936,1.4404755
android.sensor.gyroscope,1524437665573,147812649237344,2.9081268,-1.7833099,1.7285156
android.sensor.gyroscope,1524437665594,147812669134805,3.4514923,-1.2521667,1.6103058
android.sensor.gyroscope,1524437665612,147812688971231,3.8891754,-0.6999359,1.2190399
android.sensor.gyroscope,1524437665633,147812708868691,3.952713,-0.2808838,0.9325409
android.sensor.gyroscope,1524437665652,147812728766152,4.0364075,-0.23719788,0.80670166
android.sensor.gyroscope,1524437665672,147812748602578,4.510742,-0.06492615,0.493042
android.sensor.gyroscope,1524437665692,147812768500039,4.8638306,0.98669434,0.10848999
android.sensor.gyroscope,1524437665711,147812788397500,4.776474,2.4191895,-0.3649292
android.sensor.gyroscope,1524437665732,147812808294961,4.864746,3.5786133,-0.85697937
android.sensor.gyroscope,1524437665752,147812828131387,5.8137207,4.529129,-0.71739197
android.sensor.gyroscope,1524437665772,147812848028848,7.212311,5.3745728,9.765625E-4
android.sensor.gyroscope,1524437665792,147812867926309,8.755066,5.4585724,0.50341797
android.sensor.gyroscope,1524437665811,147812887762734,10.299042,5.020874,0.43623352
android.sensor.gyroscope,1524437665831,147812907660195,10.987183,5.3418884,0.20806885
android.sensor.gyroscope,1524437665851,147812927557656,10.611496,6.314087,-0.06071472
android.sensor.gyroscope,1524437665871,147812947394082,9.854324,6.973831,-0.13645935
android.sensor.gyroscope,1524437665890,147812967291543,9.135941,6.656494,-0.031707764
android.sensor.gyroscope,1524437665910,147812987189004,8.519577,6.1204376,0.2935791
android.sensor.gyroscope,1524437665930,147813007025430,7.9658203,6.1488495,0.34643555
android.sensor.gyroscope,1524437665950,147813026922891,7.2031555,6.19191,0.2428894
android.sensor.gyroscope,1524437665970,147813046820352,6.207733,6.0220947,0.29206848
android.sensor.gyroscope,1524437665990,147813066656777,5.432541,5.9130554,0.09475708
android.sensor.gyroscope,1524437666010,147813086554238,4.9151306,6.2945404,-0.0463562
android.sensor.gyroscope,1524437666030,147813106451699,4.4285736,6.739258,0.090774536
android.sensor.gyroscope,1524437666049,147813126349160,4.0385284,6.4671173,-0.02619934
android.sensor.gyroscope,1524437666069,147813146185586,3.4383545,5.9625397,-0.08026123
android.sensor.gyroscope,1524437666090,147813166083047,2.2092896,5.818985,0.19065857
android.sensor.gyroscope,1524437666109,147813185980508,1.2822876,5.44635,0.5690918
android.sensor.gyroscope,1524437666129,147813205816934,1.2505188,4.5028534,0.9023285
android.sensor.gyroscope,1524437666149,147813225714395,1.5266418,3.6827698,0.52601624
android.sensor.gyroscope,1524437666169,147813245550820,0.9652405,3.4347534,0.12893677
android.sensor.gyroscope,1524437666189,147813265448281,0.062698364,2.7514954,0.28440857
android.sensor.gyroscope,1524437666209,147813285345742,-0.23175049,1.9698792,0.20500183
android.sensor.gyroscope,1524437666229,147813305182168,-0.40065002,1.9237671,-0.003616333
android.sensor.gyroscope,1524437666249,147813325079629,-0.77542114,2.00531,-0.014923096
android.sensor.gyroscope,1524437666268,147813344977090,-0.7913208,1.1568146,0.19155884
android.sensor.gyroscope,1524437666289,147813364874551,-0.34292603,0.25517273,0.22973633
android.sensor.gyroscope,1524437666309,147813384710977,0.17263794,0.52090454,0.08190918
android.sensor.gyroscope,1524437666329,147813404608438,0.31069946,0.85565186,-0.049728394
android.sensor.gyroscope,1524437666349,147813424505899,0.30978394,0.791214,-0.082717896
android.sensor.gyroscope,1524437666369,147813444342324,0.52053833,0.5001373,-0.102874756
android.sensor.gyroscope,1524437666389,147813464239785,0.6139984,0.27563477,0.011657715
android.sensor.gyroscope,1524437666408,147813484137246,0.58773804,0.4225464,-0.19541931
android.sensor.gyroscope,1524437666428,147813503973672,0.5471039,0.53923035,-0.37104797
android.sensor.gyroscope,1524437666448,147813523871133,0.44050598,0.083221436,-0.25987244
android.sensor.gyroscope,1524437666467,147813543768594,0.13812256,0.008071899,-0.13372803
android.sensor.gyroscope,1524437666487,147813563605020,-0.11416626,0.4320221,-0.22200012
android.sensor.gyroscope,1524437666507,147813583502481,-0.23602295,0.47904968,-0.22200012
android.sensor.gyroscope,1524437666526,147813603399941,-0.31207275,0.15377808,-0.22962952
android.sensor.gyroscope,1524437666546,147813623236367,-0.62332153,-0.11929321,-0.20489502
android.sensor.gyroscope,1524437666566,147813643133828,-0.81391907,0.0728302,-0.2653656
android.sensor.gyroscope,1524437666586,147813663031289,-0.6334076,0.5031891,-0.31944275
android.sensor.gyroscope,1524437666605,147813682928750,-0.26992798,0.3779602,-0.20031738
android.sensor.gyroscope,1524437666626,147813702765176,0.13873291,-0.18769836,-0.0692749
