Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524438242197,148389226766847,4.641281,6.7074585,5.7019043
android.sensor.accelerometer,1524438242197,148389246633790,4.814987,6.7980957,5.6995087
android.sensor.accelerometer,1524438242201,148389266500734,4.628113,6.7384796,5.5948486
android.sensor.accelerometer,1524438242219,148389286398195,4.434021,6.6597595,5.608078
android.sensor.accelerometer,1524438242239,148389306265138,4.5706024,6.8076477,5.440872
android.sensor.accelerometer,1524438242259,148389326132081,4.628113,6.888748,5.4288483
android.sensor.accelerometer,1524438242279,148389346029542,4.534668,6.7217712,5.646576
android.sensor.accelerometer,1524438242299,148389365927003,4.6640472,6.749222,5.544327
android.sensor.accelerometer,1524438242318,148389385793947,4.810196,6.7814026,5.476959
android.sensor.accelerometer,1524438242338,148389405660890,4.595749,6.6215973,5.602066
android.sensor.accelerometer,1524438242358,148389425558351,4.4891357,6.662155,5.485382
android.sensor.accelerometer,1524438242378,148389445425294,4.572998,6.762329,5.366287
android.sensor.accelerometer,1524438242398,148389465292238,4.659256,6.799301,5.332611
android.sensor.accelerometer,1524438242418,148389485189699,4.606537,6.7325134,5.443283
android.sensor.accelerometer,1524438242438,148389505056642,4.9575653,6.6931458,5.3879395
android.sensor.accelerometer,1524438242457,148389524923585,6.470627,6.9746246,5.158188
android.sensor.accelerometer,1524438242478,148389544821046,8.683334,7.7486115,4.2944946
android.sensor.accelerometer,1524438242497,148389564687990,10.7331085,8.6466675,3.1842194
android.sensor.accelerometer,1524438242517,148389584554933,11.659164,8.730133,2.2074432
android.sensor.accelerometer,1524438242537,148389604452394,11.318924,8.062286,2.0583038
android.sensor.accelerometer,1524438242557,148389624349855,10.261093,6.9233246,1.7960663
android.sensor.accelerometer,1524438242577,148389644216798,9.977173,6.403351,0.52697754
android.sensor.accelerometer,1524438242597,148389664083742,10.037079,6.515457,-1.8186951
android.sensor.accelerometer,1524438242617,148389683981203,9.482407,6.488022,-4.9402313
android.sensor.accelerometer,1524438242636,148389703848146,8.787552,6.455826,-8.425064
android.sensor.accelerometer,1524438242657,148389723715089,7.4865265,5.2989807,-13.848999
android.sensor.accelerometer,1524438242676,148389743612550,7.284073,2.485611,-15.142136
android.sensor.accelerometer,1524438242696,148389763479494,7.2648926,-1.0528717,-8.339676
android.sensor.accelerometer,1524438242716,148389783346437,5.447525,-4.567505,-2.399704
android.sensor.accelerometer,1524438242736,148389803243898,3.6265717,-6.9861298,-0.11054993
android.sensor.accelerometer,1524438242756,148389823110841,2.4381561,-8.506714,1.0658875
android.sensor.accelerometer,1524438242776,148389842977785,1.7481079,-9.860336,2.4756927
android.sensor.accelerometer,1524438242797,148389862844728,1.7528992,-11.074402,4.54953
android.sensor.accelerometer,1524438242816,148389882711671,1.7061768,-12.078598,7.0804443
android.sensor.accelerometer,1524438242836,148389902609132,1.1946411,-12.606918,8.184723
android.sensor.accelerometer,1524438242856,148389922506593,1.3216248,-13.03627,7.8719482
android.sensor.accelerometer,1524438242876,148389942404054,0.7537689,-13.69339,8.7164
android.sensor.accelerometer,1524438242896,148389962270998,-1.6554108,-15.268845,9.891632
android.sensor.accelerometer,1524438242916,148389982137941,-2.3466492,-17.314163,11.350769
android.sensor.accelerometer,1524438242936,148390002004884,0.15118408,-18.838333,12.032822
android.sensor.accelerometer,1524438242956,148390021871828,3.1617584,-20.284973,11.590164
android.sensor.accelerometer,1524438242976,148390041769289,5.567337,-21.117432,11.736923
android.sensor.accelerometer,1524438242996,148390061636232,6.9965515,-22.057205,12.261368
android.sensor.accelerometer,1524438243015,148390081503175,9.822632,-23.378616,14.775452
android.sensor.accelerometer,1524438243035,148390101400636,13.961716,-22.956436,15.574188
android.sensor.accelerometer,1524438243055,148390121267580,18.375137,-21.284393,15.303528
android.sensor.accelerometer,1524438243076,148390141134523,19.70253,-20.63559,16.447495
android.sensor.accelerometer,1524438243095,148390161031984,19.807968,-20.830002,18.299988
