Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524438292578,148439595037720,0.058135986,-0.07527161,0.053009033
android.sensor.gyroscope,1524438292578,148439614935181,0.019042969,-0.009750366,0.0743866
android.sensor.gyroscope,1524438292578,148439634802125,-0.056854248,0.044158936,0.062332153
android.sensor.gyroscope,1524438292591,148439654669068,-0.12788391,0.078811646,0.0027618408
android.sensor.gyroscope,1524438292610,148439674566529,-0.090911865,-0.0051727295,-0.008529663
android.sensor.gyroscope,1524438292630,148439694463990,7.171631E-4,-0.105041504,0.04537964
android.sensor.gyroscope,1524438292651,148439714330933,0.025299072,-0.091156006,0.07133484
android.sensor.gyroscope,1524438292670,148439734197877,-0.011352539,-0.010055542,-0.0051727295
android.sensor.gyroscope,1524438292697,148439754095338,-0.061294556,-0.022125244,-0.0340271
android.sensor.gyroscope,1524438292712,148439773962281,-0.03364563,-0.06503296,0.013153076
android.sensor.gyroscope,1524438292730,148439793829224,0.01889038,-0.05618286,0.06340027
android.sensor.gyroscope,1524438292749,148439813726685,0.054473877,0.009796143,0.042785645
android.sensor.gyroscope,1524438292769,148439833593629,0.08332825,-0.04701233,-0.040908813
android.sensor.gyroscope,1524438292789,148439853460572,0.1315918,-0.40544128,-0.092056274
android.sensor.gyroscope,1524438292809,148439873358033,0.06806946,-1.095581,-0.06915283
android.sensor.gyroscope,1524438292829,148439893224976,0.10592651,-1.5971069,-0.25990295
android.sensor.gyroscope,1524438292849,148439913091920,0.6051636,-1.4017792,-0.62428284
android.sensor.gyroscope,1524438292869,148439932989381,0.7248993,-1.2279816,-0.76737976
android.sensor.gyroscope,1524438292888,148439952856324,0.52682495,-1.7427979,-0.7811279
android.sensor.gyroscope,1524438292909,148439972723267,0.23207092,-2.7072144,-1.13237
android.sensor.gyroscope,1524438292929,148439992620728,0.18151855,-3.3837433,-1.6988068
android.sensor.gyroscope,1524438292949,148440012518189,0.38708496,-3.5990753,-1.9055939
android.sensor.gyroscope,1524438292969,148440032385132,0.6183014,-3.5372314,-1.7563782
android.sensor.gyroscope,1524438292988,148440052252076,0.43077087,-3.1426086,-1.3897095
android.sensor.gyroscope,1524438293008,148440072149537,-0.2714386,-2.6826172,-1.0092773
android.sensor.gyroscope,1524438293028,148440092016480,-0.92445374,-2.5853424,-0.8687897
android.sensor.gyroscope,1524438293048,148440111883423,-1.0747223,-2.858551,-0.7742615
android.sensor.gyroscope,1524438293068,148440131750367,-0.9163513,-3.4978333,-0.64553833
android.sensor.gyroscope,1524438293088,148440151617310,-0.7263794,-4.0607452,-0.46455383
android.sensor.gyroscope,1524438293109,148440171514771,-1.0960999,-4.222168,-0.21838379
android.sensor.gyroscope,1524438293128,148440191381714,-1.4837036,-4.078766,0.2266388
android.sensor.gyroscope,1524438293147,148440211248658,-1.4525452,-4.008209,0.76878357
android.sensor.gyroscope,1524438293169,148440231146119,-1.3100586,-3.9526215,1.2171631
android.sensor.gyroscope,1524438293187,148440251013062,-1.2769165,-3.958725,1.6540833
android.sensor.gyroscope,1524438293207,148440270880006,-1.0544128,-4.2075043,2.015564
android.sensor.gyroscope,1524438293227,148440290777466,-0.6591797,-4.387863,2.4326477
android.sensor.gyroscope,1524438293248,148440310674927,-0.32992554,-3.8128815,3.0516052
android.sensor.gyroscope,1524438293266,148440330541871,-0.22071838,-2.793335,3.7295227
android.sensor.gyroscope,1524438293287,148440350408814,0.223526,-2.2174377,4.2324066
android.sensor.gyroscope,1524438293307,148440370306275,0.8829498,-2.1012268,4.430191
android.sensor.gyroscope,1524438293326,148440390173218,1.2455139,-1.8286285,4.470352
android.sensor.gyroscope,1524438293346,148440410040162,1.0368958,-1.2658539,4.471115
android.sensor.gyroscope,1524438293366,148440429937623,0.6628876,-0.2750244,4.4549255
android.sensor.gyroscope,1524438293386,148440449804566,0.8114929,0.0059661865,4.1415405
android.sensor.gyroscope,1524438293406,148440469671509,1.6158447,-0.89308167,3.8964386
android.sensor.gyroscope,1524438293426,148440489568970,2.7548218,-1.5709839,3.8451233
android.sensor.gyroscope,1524438293445,148440509435914,3.542694,-1.1438446,3.7269135
android.sensor.gyroscope,1524438293465,148440529302857,3.7407684,-0.672699,3.4647064
android.sensor.gyroscope,1524438293486,148440549200318,3.9698334,-0.14109802,3.2684631
android.sensor.gyroscope,1524438293505,148440569097779,4.2229004,1.1689148,3.0019684
android.sensor.gyroscope,1524438293525,148440588964722,4.3719482,1.8292694,2.7217407
android.sensor.gyroscope,1524438293545,148440608831666,4.4527283,1.7552032,2.4592133
android.sensor.gyroscope,1524438293565,148440628729127,4.6688232,1.3179626,2.1632538
android.sensor.gyroscope,1524438293585,148440648596070,5.2659454,1.55513,1.8978271
android.sensor.gyroscope,1524438293605,148440668463013,5.420807,1.8950806,1.4871674
android.sensor.gyroscope,1524438293626,148440688360474,5.414856,2.0076447,0.80818176
android.sensor.gyroscope,1524438293644,148440708227418,5.972122,2.5493317,0.17410278
android.sensor.gyroscope,1524438293664,148440728094361,5.8125305,3.4239502,-0.76464844
android.sensor.gyroscope,1524438293685,148440747961304,5.381256,3.448227,-1.4628754
android.sensor.gyroscope,1524438293704,148440767828248,5.531372,2.5928497,-1.7583771
