Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524438390086,148537117810514,2.071579,7.151123,6.447708
android.sensor.accelerometer,1524438390086,148537137677458,2.1123047,7.213135,6.534317
android.sensor.accelerometer,1524438390090,148537157544401,2.0368347,7.2107544,6.3286285
android.sensor.accelerometer,1524438390110,148537177441862,2.0236664,7.3061523,6.122925
android.sensor.accelerometer,1524438390130,148537197308805,2.094345,7.328827,6.204727
android.sensor.accelerometer,1524438390150,148537217175749,2.0596008,7.234604,6.369522
android.sensor.accelerometer,1524438390170,148537237073210,1.8882904,7.2012024,6.428467
android.sensor.accelerometer,1524438390190,148537256940153,1.7948456,7.31929,6.386368
android.sensor.accelerometer,1524438390210,148537276807096,1.7493134,7.1952515,6.381546
android.sensor.accelerometer,1524438390230,148537296704557,1.7840576,7.1284637,6.5054474
android.sensor.accelerometer,1524438390250,148537316602018,1.8786926,7.217911,6.6317596
android.sensor.accelerometer,1524438390270,148537336468961,1.767273,7.2966156,6.4068146
android.sensor.accelerometer,1524438390290,148537356335905,1.5935669,7.276352,6.221573
android.sensor.accelerometer,1524438390310,148537376233366,1.7169647,7.3622284,6.4537354
android.sensor.accelerometer,1524438390330,148537396100309,2.139862,7.624588,7.0178986
android.sensor.accelerometer,1524438390351,148537415967252,2.1266937,7.9430237,7.046768
android.sensor.accelerometer,1524438390369,148537435834196,1.2185974,7.9370575,7.1875
android.sensor.accelerometer,1524438390389,148537455701139,0.22904968,7.7104645,7.4244843
android.sensor.accelerometer,1524438390410,148537475598600,0.4746399,8.52977,8.291779
android.sensor.accelerometer,1524438390429,148537495465544,1.1383362,9.597168,9.729248
android.sensor.accelerometer,1524438390449,148537515332487,-0.20941162,9.0271,9.895248
android.sensor.accelerometer,1524438390469,148537535229948,-2.989975,7.867874,9.969833
android.sensor.accelerometer,1524438390489,148537555127409,-3.578186,7.3896484,11.667145
android.sensor.accelerometer,1524438390510,148537574994352,-3.633316,7.3896484,12.036438
android.sensor.accelerometer,1524438390529,148537594861295,-4.349701,6.6585693,10.981476
android.sensor.accelerometer,1524438390549,148537614758756,-4.567749,6.10997,9.944565
android.sensor.accelerometer,1524438390568,148537634625700,-4.2071533,5.7593384,9.234863
android.sensor.accelerometer,1524438390590,148537654492643,-4.6420135,4.4450684,8.605728
android.sensor.accelerometer,1524438390609,148537674390104,-3.520691,4.0407867,7.589279
android.sensor.accelerometer,1524438390629,148537694257047,-1.3115845,4.658554,4.459305
android.sensor.accelerometer,1524438390648,148537714123991,-0.60595703,4.5214233,1.5662994
android.sensor.accelerometer,1524438390668,148537734021452,-0.5832062,3.8356628,2.646515
android.sensor.accelerometer,1524438390688,148537753888395,-0.71617126,2.4295654,3.4656982
android.sensor.accelerometer,1524438390708,148537773755338,-0.35317993,1.69133,3.4813232
android.sensor.accelerometer,1524438390727,148537793622282,0.12841797,0.68356323,2.556305
android.sensor.accelerometer,1524438390747,148537813489225,-0.23097229,-1.0063629,0.9167175
android.sensor.accelerometer,1524438390767,148537833386686,-0.6095581,-2.8227081,-0.7288513
android.sensor.accelerometer,1524438390787,148537853284147,-0.20223999,-4.288437,-1.6262207
android.sensor.accelerometer,1524438390806,148537873181608,2.4046173,-4.974182,-0.77937317
android.sensor.accelerometer,1524438390827,148537893048551,6.253784,-3.7970886,-0.12138367
android.sensor.accelerometer,1524438390846,148537912915495,7.76326,-3.494156,-2.1446838
android.sensor.accelerometer,1524438390866,148537932782438,5.980652,-5.099411,-4.536072
android.sensor.accelerometer,1524438390886,148537952649381,3.879364,-8.367172,-5.2674255
android.sensor.accelerometer,1524438390906,148537972546842,6.335251,-10.726166,-1.4927063
android.sensor.accelerometer,1524438390926,148537992413786,12.210251,-8.9599,2.592392
android.sensor.accelerometer,1524438390946,148538012280729,14.258835,-7.1208954,1.7984619
android.sensor.accelerometer,1524438390966,148538032178190,12.784088,-8.823959,-0.8864441
android.sensor.accelerometer,1524438390986,148538052045133,14.061157,-11.005249,-0.7408905
android.sensor.accelerometer,1524438391006,148538071912077,19.110718,-9.181732,0.6376648
android.sensor.accelerometer,1524438391025,148538091809538,22.087753,-7.8889465,-0.14183044
android.sensor.accelerometer,1524438391045,148538111676481,18.258942,-8.008209,-1.3231049
android.sensor.accelerometer,1524438391065,148538131543424,13.149475,-13.741104,1.5939636
android.sensor.accelerometer,1524438391085,148538151440885,15.544266,-15.098297,5.128113
android.sensor.accelerometer,1524438391105,148538171338346,20.224854,-12.698746,4.456894
android.sensor.accelerometer,1524438391124,148538191205290,20.820267,-12.994522,3.7279358
android.sensor.accelerometer,1524438391145,148538211072233,18.818405,-15.71608,3.564331
android.sensor.accelerometer,1524438391164,148538230969694,16.841705,-18.608154,4.2367706
android.sensor.accelerometer,1524438391184,148538250836637,16.475128,-20.71312,5.8113556
android.sensor.accelerometer,1524438391205,148538270703581,18.609955,-19.71849,7.2139587
android.sensor.accelerometer,1524438391224,148538290601042,20.103867,-18.666595,6.267273
android.sensor.accelerometer,1524438391244,148538310467985,20.53395,-20.641571,5.3338013
android.sensor.accelerometer,1524438391264,148538330334928,21.993118,-21.326126,8.267715
android.sensor.accelerometer,1524438391284,148538350201872,23.37561,-20.593857,13.707275
android.sensor.accelerometer,1524438391304,148538370068815,24.37593,-18.81688,19.692963
android.sensor.accelerometer,1524438391323,148538389966276,21.765488,-17.688644,23.559113
android.sensor.accelerometer,1524438391343,148538409863737,16.906403,-17.95221,22.049454
android.sensor.accelerometer,1524438391363,148538429761198,13.288437,-16.357697,19.779556
android.sensor.accelerometer,1524438391383,148538449628141,11.130844,-14.221725,18.12677
android.sensor.accelerometer,1524438391404,148538469495085,9.790298,-12.8526,16.473969
android.sensor.accelerometer,1524438391423,148538489362028,9.789078,-11.61705,15.27948
android.sensor.accelerometer,1524438391443,148538509228971,9.175705,-10.633148,14.376099
android.sensor.accelerometer,1524438391463,148538529126432,7.043274,-10.945618,13.233322
android.sensor.accelerometer,1524438391482,148538549001712,4.151306,-11.559799,12.676376
android.sensor.accelerometer,1524438391503,148538568868655,3.9536285,-11.021927,11.918549
android.sensor.accelerometer,1524438391522,148538588766116,4.8677063,-8.835876,11.287018
android.sensor.accelerometer,1524438391542,148538608633059,4.8653107,-6.9646606,9.723236
android.sensor.accelerometer,1524438391562,148538628500003,3.6014252,-6.6748505,7.2969513
android.sensor.accelerometer,1524438391582,148538648397463,2.716095,-6.6748505,5.3699036
android.sensor.accelerometer,1524438391602,148538668264407,2.7736053,-5.309311,4.661392
android.sensor.accelerometer,1524438391621,148538688131350,2.286026,-3.241333,4.4677277
android.sensor.accelerometer,1524438391642,148538708028811,1.3946991,-2.6390533,3.2635956
android.sensor.accelerometer,1524438391661,148538727926272,0.55970764,-2.5162048,1.4195404
android.sensor.accelerometer,1524438391681,148538747793215,0.27098083,-1.2305756,0.95762634
android.sensor.accelerometer,1524438391701,148538767660159,0.78611755,0.54522705,0.80966187
android.sensor.accelerometer,1524438391721,148538787557620,1.4150696,1.5828094,1.607193
android.sensor.accelerometer,1524438391741,148538807424563,0.95144653,1.449234,1.0370178
android.sensor.accelerometer,1524438391761,148538827291506,0.43989563,0.88035583,-0.5399933
android.sensor.accelerometer,1524438391781,148538847158450,0.97299194,2.1290283,0.036209106
android.sensor.accelerometer,1524438391801,148538867025393,2.5268097,3.3407135,0.54382324
android.sensor.accelerometer,1524438391820,148538886922854,3.134201,4.043167,0.37420654
android.sensor.accelerometer,1524438391840,148538906789797,2.893402,4.279312,-0.31144714
android.sensor.accelerometer,1524438391860,148538926656741,2.4932709,4.643051,-1.320694
android.sensor.accelerometer,1524438391881,148538946554202,3.981186,4.999649,-0.23326111
android.sensor.accelerometer,1524438391900,148538966421145,6.178314,5.731903,1.4015045
android.sensor.accelerometer,1524438391920,148538986288088,6.728195,6.514267,2.8341675
android.sensor.accelerometer,1524438391940,148539006185549,5.718292,6.961487,2.0137787
android.sensor.accelerometer,1524438391960,148539026083010,5.393631,6.355652,1.1031647
android.sensor.accelerometer,1524438391979,148539045949954,6.877945,6.451065,1.711853
android.sensor.accelerometer,1524438392000,148539065816897,8.373047,8.453461,3.1168518
android.sensor.accelerometer,1524438392019,148539085714358,8.195755,8.993698,4.3534393
android.sensor.accelerometer,1524438392039,148539105581301,6.1986847,7.7677,4.643341
android.sensor.accelerometer,1524438392059,148539125448245,5.52182,7.066437,6.01947
android.sensor.accelerometer,1524438392079,148539145345706,5.763809,7.2703857,7.9621735
android.sensor.accelerometer,1524438392099,148539165212649,5.497864,7.440918,7.8142242
android.sensor.accelerometer,1524438392119,148539185079592,5.627243,7.7915497,6.570404
android.sensor.accelerometer,1524438392138,148539204977053,5.1923676,7.9537506,5.4035797
android.sensor.accelerometer,1524438392158,148539224843997,4.199234,7.0998383,5.841446
