Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524438350893,148497916534274,0.0027770996,0.062438965,0.019699097
android.sensor.gyroscope,1524438350894,148497936401217,0.041107178,0.01739502,0.023513794
android.sensor.gyroscope,1524438350894,148497956298678,0.043395996,0.040298462,0.043670654
android.sensor.gyroscope,1524438350911,148497976165622,0.024154663,0.08886719,0.045196533
android.sensor.gyroscope,1524438350931,148497996032565,0.020629883,0.10015869,0.051757812
android.sensor.gyroscope,1524438350951,148498015930026,0.03866577,0.099853516,0.05709839
android.sensor.gyroscope,1524438350971,148498035796969,0.021713257,0.15605164,0.09222412
android.sensor.gyroscope,1524438350991,148498055663913,0.018356323,0.23669434,0.11882019
android.sensor.gyroscope,1524438351011,148498075561374,0.062026978,0.19041443,0.10461426
android.sensor.gyroscope,1524438351030,148498095458834,0.11364746,0.09971619,0.07299805
android.sensor.gyroscope,1524438351051,148498115325778,0.111343384,0.064590454,0.11317444
android.sensor.gyroscope,1524438351070,148498135192721,0.16481018,0.056793213,0.18830872
android.sensor.gyroscope,1524438351090,148498155059665,0.36883545,-0.05697632,0.2707672
android.sensor.gyroscope,1524438351110,148498174926608,0.5618744,-0.08049011,0.41096497
android.sensor.gyroscope,1524438351130,148498194824069,0.7433014,0.03694153,0.58140564
android.sensor.gyroscope,1524438351150,148498214691012,1.2263489,-0.10935974,0.74069214
android.sensor.gyroscope,1524438351170,148498234557956,2.0029144,-0.08477783,1.037262
android.sensor.gyroscope,1524438351190,148498254455416,2.5759125,-0.0033721924,1.7489166
android.sensor.gyroscope,1524438351210,148498274322360,2.8993683,-0.18159485,2.7845001
android.sensor.gyroscope,1524438351229,148498294189303,2.9044037,-0.19168091,3.6236877
android.sensor.gyroscope,1524438351249,148498314086764,2.6388245,0.05847168,4.0760345
android.sensor.gyroscope,1524438351269,148498333953707,2.1780853,0.60214233,4.3081665
android.sensor.gyroscope,1524438351289,148498353820651,1.6308899,1.0105133,4.5483856
android.sensor.gyroscope,1524438351309,148498373718112,1.0979156,0.83473206,4.8661957
android.sensor.gyroscope,1524438351329,148498393615573,0.64753723,0.31396484,5.3866577
android.sensor.gyroscope,1524438351349,148498413482516,0.13380432,0.19821167,5.677124
android.sensor.gyroscope,1524438351369,148498433349459,-0.59924316,0.7583771,5.3778076
android.sensor.gyroscope,1524438351388,148498453246920,-1.63237,1.4346161,4.7116394
android.sensor.gyroscope,1524438351408,148498473113864,-2.6436615,1.4625549,4.2962646
android.sensor.gyroscope,1524438351429,148498492980807,-3.234375,1.143219,4.094055
android.sensor.gyroscope,1524438351448,148498512878268,-3.7314758,1.1682739,3.8567352
android.sensor.gyroscope,1524438351468,148498532745211,-4.4019012,1.4459076,3.383606
android.sensor.gyroscope,1524438351488,148498552620191,-5.0976715,1.6746674,2.7965546
android.sensor.gyroscope,1524438351508,148498572487134,-5.680298,1.6459503,2.2172852
