Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524438660148,148807153204371,2.4022217,6.9436035,6.6101074
android.sensor.accelerometer,1524438660148,148807173071314,2.4681091,7.0318604,6.5860443
android.sensor.accelerometer,1524438660148,148807192968775,2.5639648,7.1010284,6.663025
android.sensor.accelerometer,1524438660148,148807212835718,2.4800873,7.117737,6.6257477
android.sensor.accelerometer,1524438660165,148807232702662,2.1865845,6.998474,6.49823
android.sensor.accelerometer,1524438660185,148807252600123,1.9985046,6.835083,6.3466644
android.sensor.accelerometer,1524438660205,148807272467066,2.2141266,6.8159943,6.45372
android.sensor.accelerometer,1524438660225,148807292334009,2.496872,6.9316864,6.770096
android.sensor.accelerometer,1524438660245,148807312200953,2.62146,7.03067,6.8146057
android.sensor.accelerometer,1524438660265,148807332067896,2.4621277,7.1272736,6.432068
android.sensor.accelerometer,1524438660286,148807351965357,2.2812195,6.9638824,5.9990234
android.sensor.accelerometer,1524438660305,148807371862818,2.2812195,6.8792114,6.1253357
android.sensor.accelerometer,1524438660325,148807391729761,2.327942,6.9960785,6.5114594
android.sensor.accelerometer,1524438660345,148807411596705,2.4201813,7.1487274,6.707535
android.sensor.accelerometer,1524438660365,148807431494166,2.3051758,7.1821136,6.4765778
android.sensor.accelerometer,1524438660385,148807451361109,2.1230774,7.0187225,6.3141785
android.sensor.accelerometer,1524438660405,148807471228052,2.1602325,7.1391907,7.016678
android.sensor.accelerometer,1524438660425,148807491125513,1.7900391,7.483856,7.9236755
android.sensor.accelerometer,1524438660445,148807510992457,1.616333,7.9048615,9.2456665
android.sensor.accelerometer,1524438660464,148807530859400,1.5624237,7.7211914,10.06366
android.sensor.accelerometer,1524438660485,148807550756861,1.3443909,8.08136,9.955399
android.sensor.accelerometer,1524438660504,148807570623804,1.2533417,8.471344,10.515945
android.sensor.accelerometer,1524438660524,148807590490748,1.2868805,8.470154,11.7742
android.sensor.accelerometer,1524438660544,148807610357691,0.81726074,7.8690796,13.638718
