Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524438578895,148725912246449,-0.06149292,-5.0354004E-4,0.025100708
android.sensor.gyroscope,1524438578895,148725932113393,-0.09082031,0.01828003,0.013198853
android.sensor.gyroscope,1524438578895,148725951980336,-0.098464966,0.0030059814,-0.013534546
android.sensor.gyroscope,1524438578908,148725971877797,-0.06700134,0.014923096,-0.0014648438
android.sensor.gyroscope,1524438578929,148725991744740,-0.028366089,0.015838623,0.00982666
android.sensor.gyroscope,1524438578948,148726011611684,-0.020111084,0.008361816,-0.0098724365
android.sensor.gyroscope,1524438578968,148726031478627,-0.021484375,0.002090454,-0.008804321
android.sensor.gyroscope,1524438578988,148726051345570,-0.006362915,-6.5612793E-4,-0.0046844482
android.sensor.gyroscope,1524438579007,148726071243031,-0.017059326,0.0211792,-0.0020751953
android.sensor.gyroscope,1524438579028,148726091109975,-0.021942139,0.025161743,-0.01826477
android.sensor.gyroscope,1524438579047,148726110976918,-7.171631E-4,-0.023864746,-0.035369873
android.sensor.gyroscope,1524438579067,148726130904897,-1.2207031E-4,-0.028442383,-0.022857666
android.sensor.gyroscope,1524438579087,148726150771840,-0.0042266846,-0.017913818,0.005859375
android.sensor.gyroscope,1524438579107,148726170638783,-0.023620605,-0.032302856,0.023391724
android.sensor.gyroscope,1524438579127,148726190536244,-0.06440735,-0.014282227,0.024627686
android.sensor.gyroscope,1524438579146,148726210403188,-0.06929016,0.002670288,0.036224365
android.sensor.gyroscope,1524438579167,148726230270131,-0.07325745,-0.0075531006,0.07318115
android.sensor.gyroscope,1524438579186,148726250137074,-0.11631775,-0.010757446,0.10021973
android.sensor.gyroscope,1524438579206,148726270004018,-0.1665802,-0.07475281,0.15412903
android.sensor.gyroscope,1524438579227,148726289901479,-0.28111267,-0.10652161,0.20237732
android.sensor.gyroscope,1524438579246,148726309768422,-0.4229889,-0.031234741,0.26408386
android.sensor.gyroscope,1524438579267,148726329635365,-0.42512512,-2.2888184E-4,0.2920227
android.sensor.gyroscope,1524438579286,148726349532826,-0.2783661,-0.15951538,0.10876465
android.sensor.gyroscope,1524438579305,148726369399770,-0.2476654,-0.37530518,-0.318985
android.sensor.gyroscope,1524438579326,148726389266713,-0.2685852,-0.41348267,-0.7913513
android.sensor.gyroscope,1524438579345,148726409164174,-0.06135559,-0.094451904,-1.1932983
android.sensor.gyroscope,1524438579365,148726429061635,0.42947388,0.4179077,-1.4489441
android.sensor.gyroscope,1524438579385,148726448928578,0.8851929,0.7242584,-1.6320496
android.sensor.gyroscope,1524438579405,148726468795522,1.2901917,0.6926422,-1.8822021
android.sensor.gyroscope,1524438579425,148726488692983,1.629837,0.5376282,-2.1009064
android.sensor.gyroscope,1524438579445,148726508559926,1.938324,0.4915161,-2.2250519
android.sensor.gyroscope,1524438579465,148726528426869,2.1851196,0.57780457,-2.3365326
android.sensor.gyroscope,1524438579484,148726548324330,2.2868347,0.87376404,-2.316391
android.sensor.gyroscope,1524438579505,148726568191274,2.5015564,1.2063904,-2.1045532
android.sensor.gyroscope,1524438579525,148726588058217,2.9112854,1.6066589,-1.829361
android.sensor.gyroscope,1524438579544,148726607925160,3.4929962,1.6349182,-1.4440613
android.sensor.gyroscope,1524438579564,148726627792104,4.135025,1.0784149,-1.1051788
android.sensor.gyroscope,1524438579585,148726647689565,4.618683,0.5968933,-0.9109192
android.sensor.gyroscope,1524438579603,148726667556508,4.616394,0.71588135,-0.5628662
