Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524438518482,148665507267096,6.4886017,7.047348,3.168579
android.sensor.accelerometer,1524438518482,148665527164557,6.0884705,6.8374634,3.033844
android.sensor.accelerometer,1524438518482,148665547031500,5.684738,6.631134,3.0639343
android.sensor.accelerometer,1524438518500,148665566898443,5.909958,6.777832,3.2515717
android.sensor.accelerometer,1524438518520,148665586795904,6.6119843,7.157089,3.3610382
android.sensor.accelerometer,1524438518539,148665606662848,6.9893646,7.3371735,3.4392242
android.sensor.accelerometer,1524438518559,148665626529791,6.474228,7.05809,3.039856
android.sensor.accelerometer,1524438518579,148665646427252,5.800949,6.5500336,3.0482788
android.sensor.accelerometer,1524438518599,148665666294195,5.750641,6.3866425,3.2864532
android.sensor.accelerometer,1524438518619,148665686161139,6.278946,6.8004913,3.4753113
android.sensor.accelerometer,1524438518639,148665706028082,6.628769,7.0378113,3.309311
android.sensor.accelerometer,1524438518660,148665725895025,6.407135,6.886368,3.3225403
android.sensor.accelerometer,1524438518679,148665745792486,6.041748,6.6800385,3.309311
android.sensor.accelerometer,1524438518700,148665765689947,6.1339874,6.625183,3.1673737
android.sensor.accelerometer,1524438518719,148665785556891,6.6623077,6.841034,3.1457214
android.sensor.accelerometer,1524438518739,148665805423834,7.224182,7.1964417,3.009781
android.sensor.accelerometer,1524438518759,148665825321295,6.877945,6.76947,2.6645508
android.sensor.accelerometer,1524438518778,148665845188238,6.682678,6.1600647,2.3217316
android.sensor.accelerometer,1524438518798,148665865055182,8.092728,6.5440674,1.227066
android.sensor.accelerometer,1524438518819,148665884952643,9.030762,6.6502075,0.73628235
android.sensor.accelerometer,1524438518838,148665904819586,8.43895,5.1081696,1.1091919
android.sensor.accelerometer,1524438518858,148665924686529,8.413788,5.362198,-0.8864441
android.sensor.accelerometer,1524438518878,148665944583990,10.027481,5.877411,-2.3130798
android.sensor.accelerometer,1524438518898,148665964450934,11.766983,5.9859314,-3.8949127
android.sensor.accelerometer,1524438518918,148665984317877,11.628021,4.836258,-5.364868
android.sensor.accelerometer,1524438518938,148666004215338,11.038605,4.078949,-7.131958
android.sensor.accelerometer,1524438518957,148666024112799,12.594803,4.363968,-8.478012
android.sensor.accelerometer,1524438518977,148666043979742,14.696091,4.9543304,-9.932327
android.sensor.accelerometer,1524438518997,148666063846686,14.971634,4.174362,-10.205383
android.sensor.accelerometer,1524438519017,148666083744146,14.162979,2.6179962,-8.273514
android.sensor.accelerometer,1524438519037,148666103611090,14.736816,1.5732727,-7.509659
android.sensor.accelerometer,1524438519057,148666123478033,15.677261,1.8881226,-7.537323
android.sensor.accelerometer,1524438519077,148666143344977,16.084564,1.77005,-5.9915924
android.sensor.accelerometer,1524438519097,148666163211920,15.8246155,0.67285156,-3.8672638
android.sensor.accelerometer,1524438519116,148666183109381,16.20198,-0.35639954,-2.0412292
android.sensor.accelerometer,1524438519136,148666202976324,16.521835,-1.0755463,1.0129547
android.sensor.accelerometer,1524438519156,148666222843268,15.759918,-1.8244934,3.608841
android.sensor.accelerometer,1524438519175,148666242740728,14.474457,-2.6831818,5.970154
android.sensor.accelerometer,1524438519195,148666262607672,11.846054,-3.4500275,7.4076385
android.sensor.accelerometer,1524438519215,148666282474615,9.127792,-4.80484,7.211563
android.sensor.accelerometer,1524438519235,148666302372076,7.6973877,-5.5859985,10.560455
android.sensor.accelerometer,1524438519255,148666322269537,6.253784,-4.317047,14.4687195
android.sensor.accelerometer,1524438519275,148666342136480,4.116562,-3.478653,15.45752
android.sensor.accelerometer,1524438519297,148666362003424,2.8203278,-3.0016174,14.459091
android.sensor.accelerometer,1524438519315,148666381900885,4.1141663,-1.4774475,16.328415
android.sensor.accelerometer,1524438519335,148666401767828,4.828171,0.5750427,20.561462
android.sensor.accelerometer,1524438519355,148666421634771,3.046753,0.4343109,22.43077
android.sensor.accelerometer,1524438519375,148666441532232,0.8484192,0.65971375,21.44078
android.sensor.accelerometer,1524438519395,148666461399176,-0.18666077,1.5923462,18.850922
android.sensor.accelerometer,1524438519415,148666481266119,-0.05607605,2.4772644,16.602676
android.sensor.accelerometer,1524438519435,148666501133062,1.0089569,3.7032623,14.570969
