Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524438448176,148595178029160,0.026290894,-0.045516968,0.021316528
android.sensor.gyroscope,1524438448176,148595197896104,0.046295166,-0.045669556,0.029251099
android.sensor.gyroscope,1524438448176,148595217763047,0.02079773,-0.025970459,0.02482605
android.sensor.gyroscope,1524438448177,148595237660508,0.006134033,-0.031326294,0.025283813
android.sensor.gyroscope,1524438448194,148595257527451,-0.004852295,-0.032714844,0.015655518
android.sensor.gyroscope,1524438448213,148595277394395,-0.0149383545,-0.0099487305,0.0019226074
android.sensor.gyroscope,1524438448233,148595297261338,-0.020431519,-0.02583313,0.0020751953
android.sensor.gyroscope,1524438448253,148595317128281,-0.008224487,-0.026306152,0.02268982
android.sensor.gyroscope,1524438448273,148595337025742,-0.013259888,0.018447876,0.019332886
android.sensor.gyroscope,1524438448293,148595356923203,-0.015548706,0.040756226,-0.0017547607
android.sensor.gyroscope,1524438448313,148595376790147,0.0067443848,0.007293701,0.0049743652
android.sensor.gyroscope,1524438448333,148595396657090,0.018814087,0.017074585,0.010009766
android.sensor.gyroscope,1524438448353,148595416554551,-0.009597778,0.05204773,-0.005874634
android.sensor.gyroscope,1524438448373,148595436421494,-0.0016479492,0.045639038,0.0010070801
android.sensor.gyroscope,1524438448392,148595456288438,0.02659607,0.009902954,0.0074157715
android.sensor.gyroscope,1524438448412,148595476185899,0.015609741,0.0231781,0.0061950684
android.sensor.gyroscope,1524438448432,148595496052842,0.016983032,0.040283203,-0.0023651123
android.sensor.gyroscope,1524438448452,148595515919785,0.03605652,0.0011901855,-0.008010864
android.sensor.gyroscope,1524438448472,148595535817246,0.01574707,-0.013320923,0.0019073486
android.sensor.gyroscope,1524438448493,148595555684190,-0.015548706,0.036315918,0.034744263
android.sensor.gyroscope,1524438448511,148595575551133,-0.032806396,0.05845642,0.045898438
android.sensor.gyroscope,1524438448531,148595595448594,-0.0549469,0.0460968,0.040390015
android.sensor.gyroscope,1524438448551,148595615315537,-0.079696655,0.04058838,0.030166626
android.sensor.gyroscope,1524438448571,148595635182481,-0.093429565,-0.040496826,-0.0012817383
android.sensor.gyroscope,1524438448591,148595655079942,-0.15299988,-0.117767334,-0.05429077
android.sensor.gyroscope,1524438448611,148595674977402,-0.24539185,-0.1399231,-0.12286377
android.sensor.gyroscope,1524438448631,148595694844346,-0.280365,-0.26820374,-0.2480774
android.sensor.gyroscope,1524438448651,148595714711289,-0.3121338,-0.5846405,-0.42874146
android.sensor.gyroscope,1524438448671,148595734608750,-0.43736267,-0.9444275,-0.5874176
android.sensor.gyroscope,1524438448690,148595754475693,-0.63848877,-1.1542664,-0.8531494
android.sensor.gyroscope,1524438448711,148595774342637,-0.8776398,-1.4210663,-1.1323242
android.sensor.gyroscope,1524438448730,148595794209580,-1.127945,-1.8873138,-1.3910217
android.sensor.gyroscope,1524438448750,148595814076524,-1.4298706,-2.3648682,-1.7048492
android.sensor.gyroscope,1524438448770,148595833973984,-1.831665,-2.7322998,-2.0532074
android.sensor.gyroscope,1524438448790,148595853840928,-2.2598877,-2.9902344,-2.4342346
android.sensor.gyroscope,1524438448809,148595873707871,-2.6192322,-3.1847992,-2.8455048
android.sensor.gyroscope,1524438448830,148595893605332,-3.0633392,-3.2390137,-3.416214
android.sensor.gyroscope,1524438448849,148595913472276,-3.5288086,-3.2432861,-4.1501617
android.sensor.gyroscope,1524438448869,148595933339219,-3.7687378,-3.7295532,-4.7650146
android.sensor.gyroscope,1524438448889,148595953236680,-4.0225525,-4.060791,-4.934372
android.sensor.gyroscope,1524438448909,148595973134141,-4.6237946,-2.8408813,-4.5266113
android.sensor.gyroscope,1524438448929,148595993001084,-3.8864899,-2.1095123,-3.9414062
android.sensor.gyroscope,1524438448949,148596012868027,-2.2737885,-2.2101593,-3.1827087
android.sensor.gyroscope,1524438448969,148596032765488,-1.2698212,-1.5640106,-2.003418
android.sensor.gyroscope,1524438448988,148596052632432,-0.11604309,-0.88365173,-0.861084
