Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524438775193,148922162078415,-4.8600464,8.50116,2.1533203
android.sensor.accelerometer,1524438775193,148922181945358,-4.691147,8.545288,1.9740906
android.sensor.accelerometer,1524438775193,148922201812302,-4.7726135,8.50473,1.8730469
android.sensor.accelerometer,1524438775193,148922221709763,-4.9271393,8.426025,2.1521149
android.sensor.accelerometer,1524438775193,148922241576706,-5.0146027,8.430801,2.4179688
android.sensor.accelerometer,1524438775202,148922261443649,-4.901993,8.465378,2.3938904
android.sensor.accelerometer,1524438775214,148922281310593,-4.8169403,8.511902,2.0703125
android.sensor.accelerometer,1524438775234,148922301177536,-4.7582245,8.513092,1.753952
android.sensor.accelerometer,1524438775254,148922321074997,-4.7893677,8.42482,1.7599792
android.sensor.accelerometer,1524438775274,148922340941940,-4.7761993,8.428406,1.9452057
android.sensor.accelerometer,1524438775295,148922360808884,-4.8193207,8.29364,2.206253
android.sensor.accelerometer,1524438775315,148922380706345,-4.899582,8.26384,2.2639923
android.sensor.accelerometer,1524438775334,148922400603806,-4.8720245,8.327026,2.3289337
android.sensor.accelerometer,1524438775354,148922420470749,-4.850479,8.383102,2.1821747
android.sensor.accelerometer,1524438775374,148922440337692,-4.8624573,8.365189,1.9716797
android.sensor.accelerometer,1524438775393,148922460235153,-4.8001556,8.386673,1.9416046
android.sensor.accelerometer,1524438775413,148922480102097,-4.9798584,8.404556,2.0222015
android.sensor.accelerometer,1524438775433,148922499969040,-5.012207,8.371155,2.1328735
android.sensor.accelerometer,1524438775453,148922519866501,-4.7546234,8.588226,2.0739288
android.sensor.accelerometer,1524438775473,148922539733444,-4.6492004,8.7265625,2.2435455
android.sensor.accelerometer,1524438775494,148922559600388,-4.706711,8.738495,2.3830872
android.sensor.accelerometer,1524438775513,148922579467331,-4.6599884,8.8112335,2.2399292
android.sensor.accelerometer,1524438775533,148922599334274,-4.3616943,8.757584,2.1930084
android.sensor.accelerometer,1524438775554,148922619231735,-4.052597,8.986557,2.3289337
android.sensor.accelerometer,1524438775573,148922639098679,-3.7722778,8.913803,2.7716064
android.sensor.accelerometer,1524438775593,148922658965622,-3.6428833,8.695572,3.2275238
android.sensor.accelerometer,1524438775612,148922678863083,-4.249069,7.9096375,3.2010498
android.sensor.accelerometer,1524438775632,148922698760544,-5.039749,7.0569,3.7315369
android.sensor.accelerometer,1524438775652,148922718627487,-8.437286,4.69075,5.511841
android.sensor.accelerometer,1524438775672,148922738494431,-16.939484,-1.164978,7.3715515
android.sensor.accelerometer,1524438775692,148922758391891,-25.893341,-5.568115,6.524704
android.sensor.accelerometer,1524438775712,148922778258835,-26.02391,-6.2836914,6.3406525
