Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524438704697,148851715322359,0.0098724365,-0.0152282715,0.0016784668
android.sensor.gyroscope,1524438704697,148851735219820,0.021636963,-0.011703491,-9.1552734E-4
android.sensor.gyroscope,1524438704697,148851755117281,0.025146484,0.006011963,-0.0045928955
android.sensor.gyroscope,1524438704711,148851774984224,0.02407837,0.018829346,0.0030517578
android.sensor.gyroscope,1524438704731,148851794851167,0.010025024,0.018066406,7.6293945E-4
android.sensor.gyroscope,1524438704751,148851814748628,-0.015014648,0.03868103,-0.002609253
android.sensor.gyroscope,1524438704771,148851834615572,-0.01928711,0.024017334,-0.0027618408
android.sensor.gyroscope,1524438704791,148851854482515,-3.5095215E-4,-0.010650635,-0.0019836426
android.sensor.gyroscope,1524438704811,148851874349458,-0.0023345947,-0.016448975,0.015258789
android.sensor.gyroscope,1524438704830,148851894216402,0.0013122559,4.5776367E-5,0.027633667
android.sensor.gyroscope,1524438704850,148851914113863,-0.0015716553,-0.0034637451,0.02885437
android.sensor.gyroscope,1524438704871,148851933980806,0.0052948,-0.0016326904,0.031448364
android.sensor.gyroscope,1524438704890,148851953847749,0.015365601,4.5776367E-5,0.037704468
android.sensor.gyroscope,1524438704910,148851973745210,0.0262146,-0.015991211,0.03816223
android.sensor.gyroscope,1524438704930,148851993612154,0.003616333,-0.026824951,0.02381897
android.sensor.gyroscope,1524438704951,148852013479097,-0.026321411,-0.04714966,0.020767212
android.sensor.gyroscope,1524438704969,148852033376558,-0.025405884,-0.029891968,0.03388977
android.sensor.gyroscope,1524438704990,148852053274019,0.05722046,-0.032043457,0.01890564
android.sensor.gyroscope,1524438705009,148852073140962,0.17404175,-0.120910645,-0.07852173
android.sensor.gyroscope,1524438705030,148852093007906,0.24078369,-0.19377136,-0.24284363
android.sensor.gyroscope,1524438705050,148852112905367,0.23329163,-0.21011353,-0.42671204
android.sensor.gyroscope,1524438705069,148852132772310,0.23298645,-0.25958252,-0.61073303
android.sensor.gyroscope,1524438705089,148852152639253,0.23834229,-0.31394958,-0.8900604
android.sensor.gyroscope,1524438705109,148852172506197,0.24414062,-0.56533813,-1.485199
android.sensor.gyroscope,1524438705129,148852192373140,0.43351746,-1.4263458,-2.4942017
android.sensor.gyroscope,1524438705148,148852212270601,0.7172699,-2.2533112,-3.649063
android.sensor.gyroscope,1524438705169,148852232137544,0.79377747,-2.2691956,-4.6334686
android.sensor.gyroscope,1524438705188,148852252004488,0.84080505,-2.2583466,-5.426529
android.sensor.gyroscope,1524438705208,148852271901949,0.9713745,-2.758957,-6.1661377
android.sensor.gyroscope,1524438705229,148852291799410,0.93855286,-2.6183014,-6.6502533
android.sensor.gyroscope,1524438705248,148852311666353,0.79759216,-2.0344696,-6.844513
android.sensor.gyroscope,1524438705269,148852331533296,0.80003357,-1.8247833,-6.844055
android.sensor.gyroscope,1524438705288,148852351430757,0.8959503,-1.9889679,-6.7417297
android.sensor.gyroscope,1524438705307,148852371297701,0.8157654,-2.0363007,-6.4401245
android.sensor.gyroscope,1524438705328,148852391164644,0.5324707,-1.6936035,-5.786804
android.sensor.gyroscope,1524438705348,148852411062105,0.28536987,-1.2172852,-4.5772705
android.sensor.gyroscope,1524438705368,148852430929048,0.34570312,-1.0680695,-2.8807373
android.sensor.gyroscope,1524438705387,148852450795992,0.6008911,-1.0789185,-0.8460846
android.sensor.gyroscope,1524438705408,148852470662935,1.1488495,-1.0552368,1.2485962
android.sensor.gyroscope,1524438705427,148852490529878,1.9431305,-1.0115662,3.036148
android.sensor.gyroscope,1524438705447,148852510427339,2.5104675,-1.0465393,4.597687
android.sensor.gyroscope,1524438705466,148852530294283,2.645172,-0.88053894,6.261551
android.sensor.gyroscope,1524438705486,148852550161226,2.2590942,-0.006668091,8.402206
android.sensor.gyroscope,1524438705506,148852570058687,1.2850647,2.222229,11.101181
android.sensor.gyroscope,1524438705526,148852589956148,-0.56755066,5.886856,13.543137
android.sensor.gyroscope,1524438705546,148852609823091,-3.2379608,9.817642,13.158905
android.sensor.gyroscope,1524438705566,148852629690035,-4.6299896,8.265274,7.779114
android.sensor.gyroscope,1524438705586,148852649587495,-1.2943268,0.00982666,0.15652466
android.sensor.gyroscope,1524438705606,148852669454439,2.3310242,-5.173111,-3.8594818
android.sensor.gyroscope,1524438705626,148852689321382,1.8698273,-2.2343597,-3.9773865
android.sensor.gyroscope,1524438705645,148852709188326,0.24917603,1.9578857,-3.2722778
android.sensor.gyroscope,1524438705665,148852729055269,-0.13673401,2.7514038,-3.569168
android.sensor.gyroscope,1524438705685,148852748952730,0.77804565,0.9297943,-5.0138702
android.sensor.gyroscope,1524438705705,148852768819673,1.3953247,-0.9825287,-6.4891357
android.sensor.gyroscope,1524438705725,148852788686617,1.6294403,-2.178009,-7.3684845
android.sensor.gyroscope,1524438705745,148852808584077,1.770401,-3.3279724,-7.731186
android.sensor.gyroscope,1524438705764,148852828451021,1.4234314,-4.1251526,-7.9875946
android.sensor.gyroscope,1524438705784,148852848317964,0.70443726,-4.5055847,-7.7637024
android.sensor.gyroscope,1524438705804,148852868215425,-0.1920166,-4.3145294,-6.6945343
android.sensor.gyroscope,1524438705824,148852888112886,-1.0133362,-3.1360016,-5.130707
android.sensor.gyroscope,1524438705845,148852907979829,-1.0539551,-1.645935,-2.5728455
android.sensor.gyroscope,1524438705864,148852927846773,0.37503052,-1.2302399,0.77334595
android.sensor.gyroscope,1524438705884,148852947744234,2.190216,-0.6583252,3.683838
android.sensor.gyroscope,1524438705904,148852967611177,3.3936462,0.7639313,6.360367
android.sensor.gyroscope,1524438705924,148852987478120,3.6531067,2.0621948,8.96727
android.sensor.gyroscope,1524438705943,148853007345064,3.0306244,3.5675201,11.788879
android.sensor.gyroscope,1524438705963,148853027212007,0.77375793,7.092392,14.151413
android.sensor.gyroscope,1524438705984,148853047109468,-3.122818,10.588715,14.148056
android.sensor.gyroscope,1524438706003,148853066976411,-4.0249176,7.1171265,9.328583
android.sensor.gyroscope,1524438706023,148853086843355,1.5966034,-2.4141235,-0.20191956
android.sensor.gyroscope,1524438706044,148853106740816,3.5376587,-5.217407,-4.4856415
android.sensor.gyroscope,1524438706063,148853126607759,0.99261475,-0.49157715,-3.6123962
