Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524437684547,147831568271778,3.3462524,6.4570312,6.605301
android.sensor.accelerometer,1524437684547,147831588138722,3.3582306,6.473709,6.4344788
android.sensor.accelerometer,1524437684547,147831608005665,3.3989563,6.4641724,6.386368
android.sensor.accelerometer,1524437684557,147831627903126,3.394165,6.445099,6.4825897
android.sensor.accelerometer,1524437684575,147831647770070,3.3151093,6.4641724,6.3045654
android.sensor.accelerometer,1524437684595,147831667637013,3.3342743,6.4522552,6.2877197
android.sensor.accelerometer,1524437684615,147831687534474,3.2671814,6.392624,6.1457825
android.sensor.accelerometer,1524437684635,147831707431935,3.2456207,6.29245,6.138565
android.sensor.accelerometer,1524437684655,147831727298878,3.2552032,6.149338,6.2564545
android.sensor.accelerometer,1524437684675,147831747165821,3.3246918,5.987137,6.268463
android.sensor.accelerometer,1524437684694,147831767063282,3.228836,5.705673,5.967758
android.sensor.accelerometer,1524437684715,147831786930226,3.3222961,5.1355896,5.739197
android.sensor.accelerometer,1524437684735,147831806797169,3.394165,3.7807922,4.7552032
android.sensor.accelerometer,1524437684754,147831826694630,2.998825,1.407486,2.9364166
android.sensor.accelerometer,1524437684774,147831846561573,2.4261932,-1.3140564,0.17933655
android.sensor.accelerometer,1524437684794,147831866428517,2.0356445,-4.0904694,-3.251358
android.sensor.accelerometer,1524437684815,147831886295460,2.4381714,-6.8787994,-5.139923
android.sensor.accelerometer,1524437684834,147831906162403,3.269577,-9.64328,-5.166397
android.sensor.accelerometer,1524437684854,147831926059864,4.002762,-12.14299,-4.750183
android.sensor.accelerometer,1524437684873,147831945926808,5.4331665,-14.461426,-3.8913116
android.sensor.accelerometer,1524437684893,147831965824269,7.5727844,-16.920609,-1.8199005
android.sensor.accelerometer,1524437684913,147831985721730,9.64534,-19.506195,0.49209595
android.sensor.accelerometer,1524437684933,147832005588673,11.547745,-22.76442,3.489746
android.sensor.accelerometer,1524437684953,147832025486134,13.502884,-25.748337,5.9100037
android.sensor.accelerometer,1524437684973,147832045353077,15.70961,-28.300537,6.273285
android.sensor.accelerometer,1524437684993,147832065220021,18.153519,-30.68338,5.893158
android.sensor.accelerometer,1524437685013,147832085086964,20.448898,-33.94638,5.602066
android.sensor.accelerometer,1524437685032,147832104953907,22.52861,-37.526596,6.2588654
android.sensor.accelerometer,1524437685052,147832124851368,24.030914,-39.30597,7.7336273
android.sensor.accelerometer,1524437685073,147832144718312,23.31929,-38.62381,8.575653
android.sensor.accelerometer,1524437685092,147832164585255,21.742737,-36.639297,8.135391
android.sensor.accelerometer,1524437685112,147832184482716,21.594177,-33.672073,7.5628204
android.sensor.accelerometer,1524437685132,147832204349659,20.9832,-29.955887,6.8891754
android.sensor.accelerometer,1524437685152,147832224216603,18.89148,-26.807373,5.640564
android.sensor.accelerometer,1524437685172,147832244114064,16.543411,-25.11148,5.6453705
android.sensor.accelerometer,1524437685192,147832264011525,15.580231,-22.931381,7.4016113
android.sensor.accelerometer,1524437685211,147832283878468,15.498749,-18.84787,9.651062
android.sensor.accelerometer,1524437685231,147832303745411,14.6362,-15.136459,10.887665
android.sensor.accelerometer,1524437685251,147832323642872,12.728973,-12.476944,11.053665
android.sensor.accelerometer,1524437685271,147832343509816,10.713959,-10.425644,10.343933
android.sensor.accelerometer,1524437685291,147832363376759,9.091858,-7.7684937,9.384003
android.sensor.accelerometer,1524437685311,147832383274220,7.412262,-6.0749664,8.193146
android.sensor.accelerometer,1524437685331,147832403141163,6.161545,-4.9324493,7.651825
android.sensor.accelerometer,1524437685351,147832423008107,5.3540955,-3.405899,6.906021
android.sensor.accelerometer,1524437685371,147832442905568,4.791031,-2.4708862,6.7328033
android.sensor.accelerometer,1524437685390,147832462772511,4.323822,-1.9008179,6.037506
android.sensor.accelerometer,1524437685411,147832482639454,4.2591248,-2.1560516,5.4384613
android.sensor.accelerometer,1524437685431,147832502536915,4.752701,-2.5615387,5.532303
android.sensor.accelerometer,1524437685451,147832522434376,5.0689697,-2.8692322,5.931656
android.sensor.accelerometer,1524437685471,147832542301320,4.6976013,-3.799469,5.565979
android.sensor.accelerometer,1524437685491,147832562168263,4.316635,-4.8274994,5.445694
android.sensor.accelerometer,1524437685511,147832582065724,4.9323883,-5.4333496,6.1313477
android.sensor.accelerometer,1524437685531,147832601932667,6.511368,-6.418457,6.114517
android.sensor.accelerometer,1524437685550,147832621799611,9.146957,-7.243744,7.4497375
android.sensor.accelerometer,1524437685571,147832641697071,11.126068,-9.101837,10.738495
android.sensor.accelerometer,1524437685590,147832661564015,10.742691,-12.620056,13.550903
android.sensor.accelerometer,1524437685610,147832681430958,11.521393,-15.01004,15.978363
android.sensor.accelerometer,1524437685630,147832701328419,17.187943,-16.527039,17.277512
android.sensor.accelerometer,1524437685650,147832721195362,25.101929,-20.10727,18.230225
android.sensor.accelerometer,1524437685670,147832741062306,32.002396,-27.756699,21.807678
android.sensor.accelerometer,1524437685690,147832760959767,34.285797,-40.765747,23.891113
android.sensor.accelerometer,1524437685709,147832780826710,34.961456,-54.712173,21.60559
android.sensor.accelerometer,1524437685729,147832800693653,39.921173,-65.72478,17.696136
android.sensor.accelerometer,1524437685749,147832820591114,51.666367,-78.61215,16.081833
android.sensor.accelerometer,1524437685769,147832840488575,60.23445,-90.9915,20.157288
android.sensor.accelerometer,1524437685789,147832860355519,63.94586,-101.5652,23.95848
android.sensor.accelerometer,1524437685808,147832880222462,64.62871,-105.851456,19.719421
android.sensor.accelerometer,1524437685828,147832900119923,58.66269,-101.67255,12.9253845
android.sensor.accelerometer,1524437685848,147832919986866,45.817734,-90.86984,5.0030212
android.sensor.accelerometer,1524437685869,147832939853810,29.587234,-75.82382,-8.828064
android.sensor.accelerometer,1524437685888,147832959751271,16.792587,-54.788498,-17.007843
android.sensor.accelerometer,1524437685908,147832979618214,12.578033,-38.058502,-20.40004
android.sensor.accelerometer,1524437685928,147832999485157,6.041748,-24.55095,-18.759277
android.sensor.accelerometer,1524437685948,147833019382618,1.7121887,-17.745895,-15.956497
