Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524437741601,147888583763741,-0.010925293,0.016708374,0.030700684
android.sensor.gyroscope,1524437741601,147888603661202,0.028167725,-0.01902771,0.035583496
android.sensor.gyroscope,1524437741601,147888623558663,0.042526245,-0.07736206,0.012374878
android.sensor.gyroscope,1524437741601,147888643456124,0.025421143,-0.099975586,-0.045959473
android.sensor.gyroscope,1524437741601,147888663292550,-0.025283813,-0.026657104,-0.10032654
android.sensor.gyroscope,1524437741615,147888683190011,-0.078125,0.077804565,-0.09666443
android.sensor.gyroscope,1524437741626,147888703087472,-0.07232666,0.07627869,-0.075286865
android.sensor.gyroscope,1524437741647,147888722923897,-0.052459717,0.021591187,-0.052078247
android.sensor.gyroscope,1524437741666,147888742821358,-0.03414917,-0.01322937,-0.025802612
android.sensor.gyroscope,1524437741686,147888762718819,-0.007873535,-0.032470703,0.011459351
android.sensor.gyroscope,1524437741707,147888782555245,0.01411438,-0.09660339,0.01878357
android.sensor.gyroscope,1524437741726,147888802452706,0.08131409,-0.39164734,-0.121398926
android.sensor.gyroscope,1524437741746,147888822350167,0.10545349,-0.575531,-0.321167
android.sensor.gyroscope,1524437741766,147888842186593,-0.35087585,0.1413269,-0.46043396
android.sensor.gyroscope,1524437741785,147888862084054,-1.0026703,0.83496094,-0.4195099
android.sensor.gyroscope,1524437741805,147888881981515,-1.3807983,0.39239502,-0.3031311
android.sensor.gyroscope,1524437741826,147888901878976,-1.3618622,-0.80766296,-0.2793274
android.sensor.gyroscope,1524437741845,147888921715401,-0.94921875,-1.7493134,-0.11042786
android.sensor.gyroscope,1524437741865,147888941612862,-0.6517334,-2.04039,0.34161377
android.sensor.gyroscope,1524437741885,147888961510323,-1.2042542,-1.8937836,0.6388092
android.sensor.gyroscope,1524437741905,147888981346749,-2.3145142,-1.8708801,0.6803436
android.sensor.gyroscope,1524437741925,147889001244210,-3.6541595,-2.3122406,0.5777283
android.sensor.gyroscope,1524437741945,147889021141671,-4.2021027,-3.1543121,0.88560486
android.sensor.gyroscope,1524437741964,147889040978097,-3.4812775,-4.3519287,1.3122864
android.sensor.gyroscope,1524437741985,147889060875558,-2.622696,-4.9976196,1.9378204
android.sensor.gyroscope,1524437742004,147889080773019,-3.09552,-4.077347,2.5578613
android.sensor.gyroscope,1524437742024,147889100609444,-4.597946,-2.136917,2.5957336
android.sensor.gyroscope,1524437742044,147889120506905,-5.8474884,-0.6763153,2.3095398
android.sensor.gyroscope,1524437742064,147889140343331,-6.0341034,-0.53430176,2.2001953
android.sensor.gyroscope,1524437742084,147889160240792,-5.8233643,-0.8369751,2.377655
android.sensor.gyroscope,1524437742104,147889180138253,-6.3291626,-1.0104675,2.5535889
android.sensor.gyroscope,1524437742124,147889200035714,-7.444916,-0.6561737,2.4399567
android.sensor.gyroscope,1524437742143,147889219933175,-8.170929,-0.29299927,2.2114868
android.sensor.gyroscope,1524437742163,147889239769601,-8.418945,-0.22062683,2.0389252
android.sensor.gyroscope,1524437742183,147889259667061,-8.424438,-0.26734924,2.037094
android.sensor.gyroscope,1524437742203,147889279564522,-8.285156,0.09275818,2.0517426
android.sensor.gyroscope,1524437742223,147889299400948,-8.216736,0.82151794,2.0151062
android.sensor.gyroscope,1524437742243,147889319298409,-8.399094,1.0982513,1.850769
android.sensor.gyroscope,1524437742263,147889339134835,-8.455902,0.6798096,1.6299438
android.sensor.gyroscope,1524437742283,147889359032296,-8.439713,0.43881226,1.5095978
android.sensor.gyroscope,1524437742303,147889378929757,-8.250641,0.36857605,1.5083771
android.sensor.gyroscope,1524437742322,147889398766183,-7.7598114,-0.30889893,1.5285339
