Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524438870269,149017273973154,1.8152008,3.53154,9.221619
android.sensor.accelerometer,1524438870269,149017293840098,1.736145,3.4897919,9.22403
android.sensor.accelerometer,1524438870269,149017313737559,1.797226,3.5184174,9.15184
android.sensor.accelerometer,1524438870269,149017333604502,1.9086456,3.5494232,9.203583
android.sensor.accelerometer,1524438870287,149017353471445,1.7768707,3.4897919,9.19516
android.sensor.accelerometer,1524438870307,149017373368906,1.770874,3.4814453,9.102539
android.sensor.accelerometer,1524438870327,149017393266367,1.8667145,3.5207977,9.110962
android.sensor.accelerometer,1524438870346,149017413133311,1.8343658,3.4575806,9.225235
android.sensor.accelerometer,1524438870366,149017433000254,1.8343658,3.4301605,9.284164
android.sensor.accelerometer,1524438870386,149017452897715,1.781662,3.4039307,9.228836
android.sensor.accelerometer,1524438870406,149017472764658,1.7528992,3.3884277,9.109741
android.sensor.accelerometer,1524438870426,149017492631602,1.7277527,3.3252106,9.139832
android.sensor.accelerometer,1524438870446,149017512498545,1.800827,3.3156738,9.173508
android.sensor.accelerometer,1524438870466,149017532365488,1.7349396,3.2608185,9.208389
android.sensor.accelerometer,1524438870486,149017552262949,1.6810303,3.221466,9.218018
android.sensor.accelerometer,1524438870506,149017572129893,1.6654663,3.24411,9.207184
android.sensor.accelerometer,1524438870525,149017591996836,1.6738281,3.3180695,9.056839
android.sensor.accelerometer,1524438870546,149017611894297,1.6115417,3.3478699,9.037582
android.sensor.accelerometer,1524438870565,149017631761240,1.6726379,3.3967743,9.167496
android.sensor.accelerometer,1524438870585,149017651628184,1.7121735,3.4456635,9.244476
android.sensor.accelerometer,1524438870605,149017671495127,1.83078,3.5446472,9.243271
android.sensor.accelerometer,1524438870625,149017691362070,1.8523407,3.6472168,9.143433
android.sensor.accelerometer,1524438870645,149017711290049,1.8032227,3.642456,9.115753
android.sensor.accelerometer,1524438870665,149017731156992,1.7601013,3.653183,9.01712
android.sensor.accelerometer,1524438870685,149017751023936,1.7241669,3.71521,8.807816
android.sensor.accelerometer,1524438870704,149017770921397,1.7876434,3.84758,8.800613
android.sensor.accelerometer,1524438870725,149017790788340,1.8403625,3.9370117,8.792191
android.sensor.accelerometer,1524438870744,149017810655283,2.1781921,4.1338043,8.7982025
android.sensor.accelerometer,1524438870764,149017830552744,2.4261932,4.276932,9.053207
android.sensor.accelerometer,1524438870784,149017850419688,2.677765,4.5082855,8.83548
android.sensor.accelerometer,1524438870804,149017870286631,2.7232819,4.683609,8.64061
android.sensor.accelerometer,1524438870824,149017890153574,2.512436,4.6919556,8.736847
android.sensor.accelerometer,1524438870844,149017910020518,2.5232086,4.905426,8.551605
android.sensor.accelerometer,1524438870864,149017929917979,2.4058228,5.129654,8.14621
android.sensor.accelerometer,1524438870883,149017949784922,2.1458435,5.3013763,7.862335
android.sensor.accelerometer,1524438870904,149017969651865,2.1482544,5.350281,8.278534
android.sensor.accelerometer,1524438870924,149017989549326,1.9733276,5.0378113,9.067642
android.sensor.accelerometer,1524438870943,149018009446787,1.951767,5.2644043,9.038773
android.sensor.accelerometer,1524438870964,149018029313730,2.456131,6.0586853,9.151855
android.sensor.accelerometer,1524438870984,149018049180674,3.1845245,6.9793854,8.952164
android.sensor.accelerometer,1524438871002,149018069078135,2.990448,7.5590057,9.027939
android.sensor.accelerometer,1524438871022,149018088945078,3.909317,10.111191,9.778564
android.sensor.accelerometer,1524438871043,149018108812022,6.741379,14.408188,9.046005
android.sensor.accelerometer,1524438871062,149018128678965,7.826767,18.515533,7.555588
android.sensor.accelerometer,1524438871083,149018148545908,9.28833,22.483368,8.181091
android.sensor.accelerometer,1524438871102,149018168443369,12.976959,26.209091,8.431305
android.sensor.accelerometer,1524438871122,149018188310313,16.236725,27.906189,6.267273
android.sensor.accelerometer,1524438871141,149018208177256,16.466736,27.786926,2.2772217
android.sensor.accelerometer,1524438871162,149018228074717,12.133575,24.434479,-5.2097015
android.sensor.accelerometer,1524438871181,149018247941660,6.489792,17.26091,-13.395493
android.sensor.accelerometer,1524438871201,149018267808604,2.1973724,6.230423,-14.190628
android.sensor.accelerometer,1524438871221,149018287706064,5.5697327,-5.5061035,-10.334091
android.sensor.accelerometer,1524438871241,149018307603525,11.988617,-18.302856,-1.8114777
android.sensor.accelerometer,1524438871261,149018327470469,15.475998,-30.16101,3.9035645
android.sensor.accelerometer,1524438871281,149018347337412,17.390396,-39.793762,17.617935
android.sensor.accelerometer,1524438871301,149018367234873,12.912277,-38.143173,42.486908
android.sensor.accelerometer,1524438871321,149018387101816,2.2237244,-26.431702,44.68463
android.sensor.accelerometer,1524438871340,149018406968760,-1.8027649,-15.444153,24.402359
android.sensor.accelerometer,1524438871361,149018426835703,3.6685028,-5.902054,8.586487
android.sensor.accelerometer,1524438871381,149018446702647,6.282547,-1.2007599,2.647705
android.sensor.accelerometer,1524438871400,149018466600107,4.4460144,-1.4977264,1.0466309
android.sensor.accelerometer,1524438871420,149018486467051,2.8754425,-2.2705383,1.3545837
android.sensor.accelerometer,1524438871440,149018506333994,3.8961182,-2.2085114,4.1886444
android.sensor.accelerometer,1524438871460,149018526231455,7.17865,-0.71417236,7.6385803
android.sensor.accelerometer,1524438871480,149018546128916,8.903763,1.4408875,9.033966
android.sensor.accelerometer,1524438871500,149018565995859,7.308029,1.4659271,8.5672455
android.sensor.accelerometer,1524438871519,149018585859536,6.1938934,0.7598877,7.2332153
android.sensor.accelerometer,1524438871539,149018605756997,7.3475647,1.6054688,8.485443
android.sensor.accelerometer,1524438871562,149018625623940,7.9573364,2.3866272,9.13501
android.sensor.accelerometer,1524438871579,149018645490883,7.631485,2.596527,9.286575
android.sensor.accelerometer,1524438871599,149018665388344,7.5344543,3.0819244,10.432953
android.sensor.accelerometer,1524438871619,149018685255288,7.134323,2.4868011,10.758942
android.sensor.accelerometer,1524438871639,149018705122231,5.3828583,2.7885437,10.009537
android.sensor.accelerometer,1524438871659,149018724989174,5.1707916,1.970398,8.695953
android.sensor.accelerometer,1524438871678,149018744856118,4.8952484,2.1671906,9.239655
android.sensor.accelerometer,1524438871698,149018764753579,5.036621,2.4426727,8.841492
android.sensor.accelerometer,1524438871718,149018784620522,4.1441193,2.8231354,8.889603
android.sensor.accelerometer,1524438871739,149018804487465,3.8398285,3.0437622,7.9152527
android.sensor.accelerometer,1524438871758,149018824384926,4.886856,3.906021,7.844284
android.sensor.accelerometer,1524438871778,149018844282387,5.996231,4.6347046,9.2565
android.sensor.accelerometer,1524438871798,149018864149331,5.307373,3.9966583,9.317856
android.sensor.accelerometer,1524438871818,149018884016274,5.4595184,3.9906921,8.786179
android.sensor.accelerometer,1524438871838,149018903913735,4.6760254,3.4874115,8.800613
android.sensor.accelerometer,1524438871857,149018923780678,3.1916962,2.82193,9.043594
android.sensor.accelerometer,1524438871877,149018943647622,3.2156677,3.022293,8.894424
android.sensor.accelerometer,1524438871897,149018963514565,4.192032,3.858307,8.119766
android.sensor.accelerometer,1524438871917,149018983381508,4.249542,4.020508,7.880371
android.sensor.accelerometer,1524438871937,149019003278969,2.8910065,3.0676117,9.066452
android.sensor.accelerometer,1524438871957,149019023145913,2.8107452,2.8362427,9.180725
android.sensor.accelerometer,1524438871977,149019043012856,3.9751892,3.7927246,8.084869
android.sensor.accelerometer,1524438871997,149019062910317,4.9216003,4.5118713,7.799774
android.sensor.accelerometer,1524438872017,149019082777260,3.958435,3.7986755,8.624985
android.sensor.accelerometer,1524438872037,149019102644204,3.2503967,3.3574066,8.810226
android.sensor.accelerometer,1524438872056,149019122541665,3.6876678,3.9417877,7.850296
android.sensor.accelerometer,1524438872076,149019142439126,4.455597,4.3234253,8.10051
android.sensor.accelerometer,1524438872096,149019162306069,3.8901367,3.7020721,8.818649
android.sensor.accelerometer,1524438872116,149019182173012,2.466919,2.9042206,8.999084
android.sensor.accelerometer,1524438872136,149019202070473,2.5663452,3.3121033,8.6610565
android.sensor.accelerometer,1524438872155,149019221937417,3.2072754,3.9227142,8.753693
android.sensor.accelerometer,1524438872174,149019241804360,2.9640808,3.947754,7.289749
android.sensor.accelerometer,1524438872194,149019261671303,2.9017944,3.9954681,7.7492676
android.sensor.accelerometer,1524438872214,149019281538247,3.0227966,3.8010712,8.59491
android.sensor.accelerometer,1524438872234,149019301435708,3.3582306,3.7974854,9.00029
android.sensor.accelerometer,1524438872254,149019321302651,3.3306732,3.799881,9.2456665
android.sensor.accelerometer,1524438872274,149019341169594,2.8191223,3.7044678,8.5142975
