Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524438848271,148995287518045,0.013076782,-0.01473999,-0.0012054443
android.sensor.gyroscope,1524438848271,148995307384988,0.0103302,-0.02923584,0.0010986328
android.sensor.gyroscope,1524438848271,148995327282449,-0.013031006,-0.031219482,6.4086914E-4
android.sensor.gyroscope,1524438848283,148995347149393,-0.019134521,-0.03060913,-0.0065460205
android.sensor.gyroscope,1524438848302,148995367016336,-0.025558472,-0.032608032,-0.0149383545
android.sensor.gyroscope,1524438848322,148995386913797,-0.033950806,-0.013198853,-0.0013580322
android.sensor.gyroscope,1524438848342,148995406811258,-0.020507812,-0.012893677,0.008422852
android.sensor.gyroscope,1524438848362,148995426678201,-0.016845703,-0.024047852,0.02003479
android.sensor.gyroscope,1524438848382,148995446545145,-0.022659302,-0.016113281,0.024154663
android.sensor.gyroscope,1524438848402,148995466412088,-0.007385254,-0.025878906,0.009338379
android.sensor.gyroscope,1524438848422,148995486279031,0.01322937,-0.047561646,0.004760742
android.sensor.gyroscope,1524438848442,148995506176492,0.019042969,-0.043136597,0.004760742
android.sensor.gyroscope,1524438848462,148995526043436,-0.013641357,-0.024047852,-0.008071899
android.sensor.gyroscope,1524438848482,148995545910379,-0.027542114,-0.009689331,-0.019058228
android.sensor.gyroscope,1524438848503,148995565807840,0.020111084,-0.031082153,-0.022140503
android.sensor.gyroscope,1524438848522,148995585674783,0.043319702,-0.04725647,-0.023666382
android.sensor.gyroscope,1524438848542,148995605541727,-0.011199951,-0.025421143,-0.010986328
android.sensor.gyroscope,1524438848561,148995625439188,-0.038223267,-0.022216797,-0.008392334
android.sensor.gyroscope,1524438848581,148995645336649,-0.011047363,-0.053833008,-0.011444092
android.sensor.gyroscope,1524438848602,148995665203592,-0.014099121,-0.037643433,-0.0038146973
android.sensor.gyroscope,1524438848622,148995685070535,-0.019592285,2.2888184E-4,-4.5776367E-4
android.sensor.gyroscope,1524438848642,148995704967996,0.013092041,0.0063476562,0.011154175
android.sensor.gyroscope,1524438848661,148995724834940,0.035064697,0.024047852,0.023666382
android.sensor.gyroscope,1524438848682,148995744701883,0.034606934,0.029403687,0.007797241
android.sensor.gyroscope,1524438848701,148995764568826,0.04576111,0.046813965,-0.0033569336
android.sensor.gyroscope,1524438848721,148995784435770,0.064697266,0.0552063,0.008560181
android.sensor.gyroscope,1524438848741,148995804333231,0.049728394,0.055358887,0.018936157
android.sensor.gyroscope,1524438848760,148995824200174,-0.0017242432,0.07460022,0.036499023
android.sensor.gyroscope,1524438848780,148995844067117,-0.03578186,0.07873535,0.050857544
android.sensor.gyroscope,1524438848801,148995863964578,-0.04586792,0.03994751,0.058639526
android.sensor.gyroscope,1524438848821,148995883831522,-0.09838867,0.0075683594,0.061553955
android.sensor.gyroscope,1524438848840,148995903698465,-0.15979004,-0.002670288,0.07086182
android.sensor.gyroscope,1524438848860,148995923595926,-0.24806213,0.054901123,0.079422
android.sensor.gyroscope,1524438848881,148995943493387,-0.3034973,-0.0011444092,0.06491089
android.sensor.gyroscope,1524438848900,148995963360330,-0.21995544,-0.1851654,0.05116272
android.sensor.gyroscope,1524438848920,148995983227274,-0.17140198,-0.28840637,0.054519653
android.sensor.gyroscope,1524438848939,148996003124734,-0.34609985,-0.16912842,0.096832275
android.sensor.gyroscope,1524438848960,148996022991678,-0.6194763,-0.007858276,0.14065552
android.sensor.gyroscope,1524438848979,148996042858621,-0.6678772,0.013519287,0.11546326
